Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1960,46,NYT,AFL,14,7,7,0,.500,-1.1,3.8,-4.9,,,,,2,
1961,47,NYT,AFL,14,7,7,0,.500,-5.6,-2.5,-3.0,,,,,3,
1964,50,HOU,AFL,14,4,10,0,.286,-2.8,-0.8,-2.0,,,,,4,
