,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1936,BOS,HC,9,4,3,4,3,6,4,4,8,6,5,6,1,2,3,5,4,6,1,3,3,1,1,1,1,2,7,4,3,6,1
1,1937,WAS,HC,10,2,5,3,2,2,3,4,6,4,2,3,1,1,2,3,4,4,1,4,3,1,2,1,6,1,4,5,8,7,5
2,1938,WAS,HC,10,3,9,5,1,2,5,8,6,5,4,2,1,1,1,5,8,3,3,5,8,7,4,5,1,8,5,3,4,7,3
3,1939,WAS,HC,10,3,4,1,2,2,2,4,5,2,4,2,1,8,3,1,4,1,1,2,4,5,2,1,2,4,9,1,2,4,1
4,1940,WAS,HC,10,1,8,1,3,2,1,5,7,6,2,3,1,4,1,1,5,2,9,3,8,1,4,1,4,9,10,10,7,7,6
5,1941,WAS,HC,10,5,7,5,4,5,4,7,5,6,7,8,3,2,4,3,8,5,3,5,4,6,2,4,1,5,6,5,9,4,5
6,1942,WAS,HC,10,2,7,2,2,3,3,5,5,3,5,4,8,3,3,3,3,5,2,2,9,3,2,2,2,9,5,1,2,6,2
7,1946,NYY,HC,8,2,7,3,3,4,4,5,3,5,3,4,6,5,7,7,2,6,1,3,8,2,2,3,2,7,1,2,2,7,3
8,1947,NYY,HC,8,2,5,2,2,3,2,3,2,1,1,1,4,8,7,6,3,2,1,2,8,1,1,4,1,8,6,3,3,6,2
9,1948,NYY,HC,8,6,3,5,6,8,5,4,6,5,5,5,3,7,8,8,4,6,3,3,2,3,4,4,4,4,3,7,3,2,8
10,1949,CHH,HC,7,5,2,6,6,7,6,7,7,7,6,7,3,2,3,5,7,5,5,5,1,5,6,6,7,1,1,2,1,5,7
