Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2012,51,MIA,NFL,16,7,9,0,.438,-2.6,-5.5,2.9,,,,,2,6,2,
2013,52,MIA,NFL,16,8,8,0,.500,-0.8,-2.9,2.1,,,,,3,8,7,
2014,53,MIA,NFL,16,8,8,0,.500,2.6,2.9,-0.4,,,,,3,4,1,
2015,54,MIA,NFL,4,1,3,0,.250,-6.8,-4.7,-2.2,,,,,4,1,0,Fired after Week 4
2018,57,GNB,NFL,4,2,2,0,.500,-2.7,0.0,-2.7,,,,,3,2,0,Interim coach after Week 13
