,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1949,36,CRD,NFL,12,6,5,1,.545,4.7,7.8,-3.1,,,,,3,co-coach with Phil Handler
1,1951,38,DET,NFL,12,7,4,1,.636,4.3,3.7,0.5,,,,,2,
2,1952,39,DET,NFL,12,9,3,0,.750,11.3,4.3,6.9,2,2,0,1.000,1,NFL Champions
3,1953,40,DET,NFL,12,10,2,0,.833,3.4,-0.6,4.0,1,1,0,1.000,1,NFL Champions
4,1954,41,DET,NFL,12,9,2,1,.818,14.9,7.6,7.3,1,0,1,.000,1,
5,1955,42,DET,NFL,12,3,9,0,.250,-6.5,-3.2,-3.4,,,,,6,
6,1956,43,DET,NFL,12,9,3,0,.750,8.7,2.0,6.7,,,,,2,
7,1957,44,PIT,NFL,12,6,6,0,.500,-1.7,-7.0,5.3,,,,,3,
8,1958,45,PIT,NFL,12,7,4,1,.636,0.9,-1.2,2.1,,,,,3,
9,1959,46,PIT,NFL,12,6,5,1,.545,1.1,-0.7,1.9,,,,,4,
10,1960,47,PIT,NFL,12,5,6,1,.455,-0.7,-1.2,0.4,,,,,5,
11,1961,48,PIT,NFL,14,6,8,0,.429,-1.7,-1.5,-0.3,,,,,5,
12,1962,49,PIT,NFL,14,9,5,0,.643,-6.7,-2.1,-4.6,,,,,2,
13,1963,50,PIT,NFL,14,7,4,3,.636,2.9,1.2,1.7,,,,,4,
14,1964,51,PIT,NFL,14,5,9,0,.357,-6.9,-5.9,-1.0,,,,,6,
