,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1949,CRD,HC,10,4,2,4,7,5,2,4,5,3,2,1,5,7,8,4,5,7,8,7,1,3,7,6,8,1,10,10,7,1,8
1,1951,DET,HC,12,4,7,4,4,3,2,1,10,6,9,3,1,4,3,1,5,2,7,5,11,5,3,5,2,4,11,11,8,12,8
2,1952,DET,HC,12,1,1,1,2,3,2,5,3,4,3,4,1,3,4,2,10,4,4,1,1,1,1,1,2,2,12,10,2,2,6
3,1953,DET,HC,12,2,2,5,5,5,5,5,3,3,7,3,4,10,6,4,5,4,5,2,2,7,7,3,6,8,5,5,3,1,6
4,1954,DET,HC,12,1,3,2,4,3,1,3,7,6,5,4,1,4,3,4,3,4,4,3,6,5,5,5,4,10,7,6,1,2,5
5,1955,DET,HC,12,12,8,10,7,4,8,5,11,10,9,9,8,1,2,7,6,4,10,9,6,7,7,8,9,1,4,10,10,11,12
6,1956,DET,HC,12,2,3,2,2,3,2,7,3,5,2,7,3,4,3,7,9,2,6,3,2,1,3,1,6,7,9,7,3,2,6
7,1957,PIT,HC,12,6,1,9,7,11,12,4,9,12,12,12,10,4,9,9,3,11,1,2,3,5,3,1,3,1,3,2,4,4,3
8,1958,PIT,HC,12,6,6,6,2,3,5,7,6,8,6,9,9,7,1,7,6,1,3,4,2,7,5,7,3,4,7,2,2,3,4
9,1959,PIT,HC,12,8,7,5,4,7,5,6,7,10,10,10,4,5,6,2,10,8,2,4,6,6,3,3,2,10,2,3,2,2,6
10,1960,PIT,HC,13,9,10,10,10,3,8,7,5,7,8,8,9,9,3,4,5,1,12,9,10,10,5,7,3,6,12,13,10,10,12
11,1961,PIT,HC,14,10,13,9,8,11,8,14,1,11,10,13,13,12,11,4,14,6,2,7,3,1,1,5,3,3,14,8,11,5,4
12,1962,PIT,HC,14,4,7,9,8,9,6,5,1,2,4,7,1,13,13,12,7,11,8,11,9,2,2,4,6,14,13,12,13,2,7
13,1963,PIT,HC,14,6,3,8,8,3,6,3,1,3,7,11,3,10,5,7,4,2,11,8,3,5,6,8,8,3,9,11,7,4,13
14,1964,PIT,HC,14,11,12,11,10,10,11,11,2,4,5,6,6,13,14,13,11,13,7,9,14,12,13,8,14,9,6,3,4,13,6
