Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1966,48,RAM,NFL,14,8,6,0,.571,6.0,-0.5,6.5,,,,,3,
1967,49,RAM,NFL,14,11,1,2,.917,13.6,6.6,7.0,1,0,1,.000,1,
1968,50,RAM,NFL,14,10,3,1,.769,8.7,2.0,6.7,,,,,2,
1969,51,RAM,NFL,14,11,3,0,.786,7.1,3.2,3.9,1,0,1,.000,1,
1970,52,RAM,NFL,14,9,4,1,.692,9.6,4.4,5.3,,,,,2,
1971,53,WAS,NFL,14,9,4,1,.692,5.1,-0.6,5.8,1,0,1,.000,2,
1972,54,WAS,NFL,14,11,3,0,.786,6.3,2.7,3.7,3,2,1,.667,1,NFC Champions
1973,55,WAS,NFL,14,10,4,0,.714,7.4,1.2,6.2,1,0,1,.000,2,
1974,56,WAS,NFL,14,10,4,0,.714,10.2,5.7,4.5,1,0,1,.000,2,
1975,57,WAS,NFL,14,8,6,0,.571,2.8,2.6,0.3,,,,,3,
1976,58,WAS,NFL,14,10,4,0,.714,3.0,1.2,1.8,1,0,1,.000,2,
1977,59,WAS,NFL,14,9,5,0,.643,-0.5,-3.1,2.6,,,,,2,
