,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1964,CHI,DC,14,11,7,13,13,8,10,5,14,14,14,13,3,1,1,2,8,10,13,13,9,7,11,13,11,4,3,10,12,14,13
1,1965,CHI,DC,14,4,2,1,2,3,2,3,2,3,1,4,7,10,5,6,1,2,8,2,3,1,5,3,8,1,13,9,4,7,3
2,1966,RAM,HC,15,7,3,5,6,7,10,4,7,7,8,6,3,3,8,13,4,10,4,2,2,4,3,4,2,2,7,9,2,3,8
3,1967,RAM,HC,16,1,1,1,2,6,1,2,1,4,3,9,6,10,7,4,1,4,3,1,2,2,2,2,1,9,12,6,4,1,3
4,1968,RAM,HC,16,3,2,4,3,8,5,1,1,5,6,12,3,7,12,9,4,12,1,3,2,3,2,4,2,3,6,2,2,5,2
5,1969,RAM,HC,16,3,1,3,8,12,4,1,14,16,14,15,3,8,10,1,1,10,6,5,6,5,5,5,5,7,12,10,6,2,5
6,1970,RAM,HC,26,7,8,3,3,6,4,8,18,11,11,10,22,2,6,11,6,14,3,2,11,4,4,2,6,5,14,11,8,14,6
7,1971,WAS,HC,26,6,9,6,6,13,12,11,12,14,21,20,22,19,10,17,8,5,4,4,6,5,4,3,4,20,24,12,5,1,4
8,1972,WAS,HC,26,2,7,3,5,11,7,3,6,10,6,14,8,23,12,3,8,2,4,3,14,4,7,10,13,10,21,6,3,16,4
9,1973,WAS,HC,26,4,4,6,12,18,6,12,18,25,20,26,20,9,6,5,8,7,9,6,2,8,4,6,1,6,25,18,9,2,8
10,1974,WAS,HC,26,4,1,2,3,12,4,2,14,23,18,26,2,3,1,2,2,5,2,4,4,3,3,2,6,8,19,5,8,3,2
11,1975,WAS,HC,26,11,18,12,12,8,10,22,21,20,23,14,13,3,2,1,23,7,15,11,13,15,16,4,10,6,14,16,16,17,17
12,1976,WAS,HC,28,7,11,11,14,17,11,24,9,14,21,20,24,13,16,5,19,18,13,9,3,22,19,8,14,6,10,9,4,2,11
13,1977,WAS,HC,28,7,11,13,20,20,21,8,17,23,26,24,8,7,18,12,6,24,19,4,15,18,18,5,16,20,25,17,9,11,9
