Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1986,SDG,HC,28,24,26,23,17,12,15,27,15,24,6,27,13,2,7,13,28,14,23,24,12,13,7,15,3,1,13,25,25,24,24
1987,SDG,HC,28,10,26,23,18,21,27,25,26,27,20,28,23,7,8,27,22,13,15,15,22,25,24,14,23,14,2,4,8,25,8
1988,SDG,HC,28,20,22,27,26,26,27,8,24,12,19,3,4,21,26,28,16,27,21,18,26,24,22,14,17,25,18,16,18,19,16
2001,KAN,OC,31,22,22,17,6,5,16,19,13,6,4,5,5,15,5,22,29,6,23,23,22,25,27,22,25,9,7,14,13,25,22
2002,KAN,OC,32,17,3,7,19,4,1,1,10,3,1,2,1,27,11,3,8,1,32,28,8,14,24,29,30,12,32,31,27,12,27
2003,KAN,OC,32,2,1,1,16,2,1,1,16,15,1,11,2,7,2,10,5,2,29,19,4,18,30,26,32,13,29,20,13,3,12
2004,KAN,OC,32,18,22,10,5,1,2,14,7,5,1,3,8,6,4,8,17,4,31,29,27,4,12,26,29,28,22,32,30,24,32
2005,KAN,OC,32,11,8,9,1,1,6,6,6,4,2,5,17,17,6,23,3,3,25,16,7,2,7,11,20,5,27,30,28,14,26
2006,WAS,OC,32,27,23,24,23,13,20,2,8,4,14,8,4,24,21,17,5,10,31,27,32,26,27,4,25,30,5,23,32,32,32
2007,WAS,OC,32,12,21,12,9,15,18,14,5,12,7,27,31,20,14,20,4,15,8,11,25,7,4,9,3,18,30,16,11,23,6
2008,STL,OC,32,30,23,31,28,27,30,27,22,25,30,25,20,15,26,30,26,28,28,31,13,28,29,30,29,5,2,19,14,21,31
2011,OAK,OC,32,13,22,23,18,9,16,25,7,7,7,7,8,22,11,18,27,6,29,29,13,15,27,23,32,24,27,27,31,12,15
