,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2024,425,5518,1055,5.2,19,7,315,379,570,3610,30,12,6.1,172,461,1908,12,4.1,124,108,941,19,190,38.4,10.0,Own 32.5,2:41,5.73,29.0,2.04,230,91,39.6%,22,15,68.2%,56,35,62.5%
1,2023,357,5072,1016,5.0,22,13,301,337,513,3262,28,9,5.8,154,451,1810,8,4.0,116,99,749,31,189,34.9,10.6,Own 30.8,2:39,5.56,26.8,1.81,220,81,36.8%,20,13,65.0%,58,30,51.7%
2,2022,287,5527,1078,5.1,24,9,300,345,571,3592,18,15,5.7,166,444,1935,11,4.4,105,113,970,29,199,28.6,10.6,Own 26.5,2:33,5.60,27.6,1.44,230,67,29.1%,24,12,50.0%,36,20,55.6%
3,2021,335,5618,1036,5.4,18,9,331,354,541,3593,20,9,6.2,179,455,2025,16,4.5,124,83,711,28,168,36.9,9.5,Own 28.0,3:07,6.35,33.5,1.96,213,82,38.5%,28,16,57.1%,53,29,54.7%
4,2020,323,5369,1030,5.2,32,9,308,317,556,3451,21,23,5.9,176,442,1918,13,4.3,94,81,670,38,188,33.0,17.0,Own 26.9,2:28,5.66,28.4,1.71,212,82,38.7%,15,4,26.7%,45,24,53.3%
5,2019,282,4777,954,5.0,16,6,279,312,504,3115,16,10,5.7,162,409,1662,11,4.1,77,110,912,40,173,32.4,9.2,Own 27.6,2:43,5.71,27.6,1.60,202,64,31.7%,16,11,68.8%,42,20,47.6%
6,2018,329,5602,1015,5.5,21,6,320,367,588,3695,19,15,5.9,181,393,1907,18,4.9,107,125,985,32,186,30.6,11.3,Own 27.8,2:30,5.63,30.1,1.72,207,69,33.3%,25,15,60.0%,44,25,56.8%
7,2017,289,5185,1075,4.8,34,12,297,332,566,3333,19,22,5.4,180,457,1852,8,4.1,92,113,885,25,193,26.4,16.6,Own 27.0,2:37,5.73,26.9,1.35,241,94,39.0,20,7,35.0,48,19,39.6
8,2016,333,5169,1020,5.1,25,14,290,339,570,3685,20,11,6.0,181,410,1484,11,3.6,76,119,985,33,198,30.3,11.6,Own 29.1,2:21,5.33,26.1,1.54,219,75,34.2%,17,9,52.9%,47,22,46.8%
9,2015,355,5688,1056,5.4,31,8,314,368,606,3970,19,23,6.2,201,411,1718,13,4.2,85,115,1063,28,199,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58,224,79,35.3%,14,7,50.0%,44,21,47.7%
10,2014,482,6446,1067,6.0,20,5,360,399,607,4661,40,15,7.5,227,443,1785,15,4.0,98,120,1045,35,198,39.9,9.6,Own 28.9,2:29,5.54,32.6,2.31,213,94,44.1%,13,6,46.2%,62,39,62.9%
11,2013,606,7317,1156,6.3,26,16,435,461,675,5444,55,10,7.8,293,461,1873,16,4.1,107,117,1000,35,202,47.5,10.4,Own 28.3,2:25,5.85,36.2,2.83,205,95,46.3%,9,8,88.9%,67,51,76.1%
12,2012,481,6366,1090,5.8,25,14,380,402,588,4534,37,11,7.4,232,481,1832,12,3.8,112,100,805,36,188,39.9,12.2,Own 29.1,2:40,5.97,33.9,2.24,213,96,45.1%,5,3,60.0%,66,39,59.1%
13,2011,309,5066,1017,5.0,30,17,286,217,429,2434,20,13,5.2,130,546,2632,11,4.8,129,101,843,27,204,24.5,14.2,Own 26.7,2:20,5.11,24.8,1.34,214,66,30.8%,13,3,23.1%,36,17,47.2%
14,2010,344,5582,1018,5.5,27,15,309,334,580,4038,25,12,6.5,204,398,1544,13,3.9,81,98,944,24,196,30.6,11.7,Own 27.5,2:18,5.32,28.4,1.69,207,67,32.4%,19,6,31.6%,52,29,55.8%
15,2009,326,5463,1032,5.3,23,10,306,341,558,3627,21,13,6.1,186,440,1836,9,4.2,95,93,800,25,189,31.7,11.6,Own 29.0,2:33,5.65,28.9,1.59,215,78,36.3%,18,7,38.9%,52,25,48.1%
16,2008,370,6333,1019,6.2,30,12,354,386,620,4471,25,18,7.1,223,387,1862,15,4.8,103,77,739,28,167,38.9,17.4,Own 26.0,2:45,6.31,37.9,2.13,200,95,47.5%,10,4,40.0%,55,30,54.5%
17,2007,320,5541,976,5.7,29,14,305,326,515,3584,21,15,6.6,187,429,1957,10,4.6,96,90,610,22,177,32.8,14.7,Own 28.0,2:40,5.69,31.1,1.68,198,80,40.4%,22,7,31.8%,51,25,49.0%
18,2006,319,4951,973,5.1,30,12,285,256,454,2799,20,18,5.8,151,488,2152,12,4.4,106,67,478,28,192,30.7,14.6,Own 27.0,2:32,5.22,25.7,1.59,211,78,37.0%,13,7,53.8%,44,24,54.5%
19,2005,395,5766,1030,5.6,16,9,330,279,465,3227,18,7,6.6,162,542,2539,25,4.7,145,97,756,23,186,36.0,8.1,Own 31.8,2:49,5.71,30.9,2.01,210,76,36.2%,19,14,73.7%,58,35,60.3%
20,2004,381,6332,1070,5.9,29,9,351,303,521,3999,27,20,7.5,184,534,2333,13,4.4,127,93,880,40,191,36.1,14.7,Own 29.0,2:44,5.78,33.1,1.92,206,78,37.9%,14,7,50.0%,53,24,45.3%
21,2003,381,5598,1047,5.3,24,6,334,280,479,2969,19,18,5.9,162,543,2629,20,4.8,133,107,922,39,183,36.6,12.0,Own 30.5,2:59,5.90,30.6,1.95,211,82,38.9%,13,3,23.1%,56,31,55.4%
22,2002,392,6090,1057,5.8,27,7,357,359,554,3824,21,20,6.4,199,457,2266,21,5.0,125,104,877,33,181,37.6,14.9,Own 30.9,2:45,6.04,33.5,2.06,202,77,38.1%,23,16,69.6%,58,34,58.6%
23,2001,340,4817,1034,4.7,27,8,304,312,511,2940,26,19,5.3,174,481,1877,7,3.9,106,95,917,24,195,32.8,13.3,Own 31.1,2:36,5.49,24.7,1.66,219,83,37.9%,10,4,40.0%,54,28,51.9%
