Year,Week,Day,Date,, Offense,OT, Defense,Opp,Tm,Opp_2,1stD,TotYd,PassY,RushY,TO,1stD_3,TotYd_4,PassY_5,RushY_6,TO_7,Offense,Defense,Sp. Tms
2024,WildCard,Sun,"January 12, 2025",boxscore,L,,@,Buffalo Bills,7,31,13,224,145,79,,26,471,261,210,,,,
2015,Division,Sun,"January 17, 2016",boxscore,W,,,Pittsburgh Steelers,23,16,19,324,215,109,,16,396,311,85,1,,,
2015,ConfChamp,Sun,"January 24, 2016",boxscore,W,,,New England Patriots,20,18,12,244,145,99,1,20,336,292,44,2,,,
2015,SuperBowl,Sun,"February 7, 2016",boxscore,W,,N,Carolina Panthers,24,10,11,194,104,90,2,21,315,197,118,4,,,
2014,Division,Sun,"January 11, 2015",boxscore,L,,,Indianapolis Colts,13,24,19,288,200,88,1,23,364,265,99,2,,,
2013,Division,Sun,"January 12, 2014",boxscore,W,,,San Diego Chargers,24,17,26,363,230,133,2,13,259,194,65,,,,
2013,ConfChamp,Sun,"January 19, 2014",boxscore,W,,,New England Patriots,26,16,27,507,400,107,,19,320,256,64,,,,
2013,SuperBowl,Sun,"February 2, 2014",boxscore,L,,N,Seattle Seahawks,8,43,18,306,279,27,4,17,341,206,135,,,,
2012,Division,Sat,"January 12, 2013",boxscore,L,OT,,Baltimore Ravens,35,38,30,398,273,125,3,21,479,324,155,1,,,
2011,WildCard,Sun,"January 8, 2012",boxscore,W,OT,,Pittsburgh Steelers,29,23,18,447,316,131,1,21,400,244,156,1,,,
2011,Division,Sat,"January 14, 2012",boxscore,L,,@,New England Patriots,10,45,15,252,108,144,1,31,509,363,146,2,,,
2005,Division,Sat,"January 14, 2006",boxscore,W,,,New England Patriots,27,13,16,286,190,96,1,15,420,341,79,5,,,
2005,ConfChamp,Sun,"January 22, 2006",boxscore,L,,,Pittsburgh Steelers,17,34,16,308,211,97,4,20,358,268,90,,,,
2004,WildCard,Sun,"January 9, 2005",boxscore,L,,@,Indianapolis Colts,24,49,18,338,260,78,1,27,530,454,76,1,,,
2003,WildCard,Sun,"January 4, 2004",boxscore,L,,@,Indianapolis Colts,10,41,20,322,176,146,3,23,479,394,85,1,,,
2000,WildCard,Sun,"December 31, 2000",boxscore,L,,@,Baltimore Ravens,3,21,9,177,135,42,1,13,240,118,122,,,,
1998,Division,Sat,"January 9, 1999",boxscore,W,,,Miami Dolphins,38,3,24,424,174,250,,14,252,238,14,3,,,
1998,ConfChamp,Sun,"January 17, 1999",boxscore,W,,,New York Jets,23,10,14,331,153,178,,18,370,356,14,6,,,
1998,SuperBowl,Sun,"January 31, 1999",boxscore,W,,N,Atlanta Falcons,34,19,22,457,336,121,1,21,337,206,131,4,,,
1997,WildCard,Sat,"December 27, 1997",boxscore,W,,,Jacksonville Jaguars,42,17,28,511,201,310,2,14,237,187,50,2,,,
1997,Division,Sun,"January 4, 1998",boxscore,W,,@,Kansas City Chiefs,14,10,16,272,163,109,2,18,303,226,77,,,,
1997,ConfChamp,Sun,"January 11, 1998",boxscore,W,,@,Pittsburgh Steelers,24,21,23,345,195,150,2,23,354,193,161,4,,,
1997,SuperBowl,Sun,"January 25, 1998",boxscore,W,,N,Green Bay Packers,31,24,21,302,123,179,2,21,350,255,95,3,,,
1996,Division,Sat,"January 4, 1997",boxscore,L,,,Jacksonville Jaguars,27,30,21,351,225,126,,22,443,240,203,,,,
1993,WildCard,Sun,"January 9, 1994",boxscore,L,,@,Los Angeles Raiders,24,42,26,387,331,56,1,19,427,291,136,,,,
1991,Division,Sat,"January 4, 1992",boxscore,W,,,Houston Oilers,26,24,26,418,267,151,1,23,422,325,97,1,,,
1991,ConfChamp,Sun,"January 12, 1992",boxscore,L,,@,Buffalo Bills,7,10,20,304,223,81,2,12,213,109,104,2,,,
1989,Division,Sun,"January 7, 1990",boxscore,W,,,Pittsburgh Steelers,24,23,19,364,226,138,1,19,404,229,175,2,,,
1989,ConfChamp,Sun,"January 14, 1990",boxscore,W,,,Cleveland Browns,37,21,22,497,377,120,2,14,256,190,66,3,,,
1989,SuperBowl,Sun,"January 28, 1990",boxscore,L,,N,San Francisco 49ers,10,55,12,167,103,64,4,28,461,317,144,,,,
1987,Division,Sun,"January 10, 1988",boxscore,W,,,Houston Oilers,34,10,19,316,255,61,1,20,337,264,73,3,,,
1987,ConfChamp,Sun,"January 17, 1988",boxscore,W,,,Cleveland Browns,38,33,24,412,256,156,1,25,464,336,128,4,,,
1987,SuperBowl,Sun,"January 31, 1988",boxscore,L,,N,Washington Redskins,10,42,18,327,230,97,3,25,602,322,280,1,,,
1986,Division,Sun,"January 4, 1987",boxscore,W,,,New England Patriots,22,17,23,441,253,188,2,12,271,150,121,,,,
1986,ConfChamp,Sun,"January 11, 1987",boxscore,W,OT,@,Cleveland Browns,23,20,22,374,225,149,1,17,356,256,100,3,,,
1986,SuperBowl,Sun,"January 25, 1987",boxscore,L,,N,New York Giants,20,39,24,372,320,52,1,24,399,263,136,,,,
1984,Division,Sun,"December 30, 1984",boxscore,L,,,Pittsburgh Steelers,17,24,15,250,199,51,2,25,381,212,169,2,,,
1983,WildCard,Sat,"December 24, 1983",boxscore,L,,@,Seattle Seahawks,7,31,21,360,235,125,3,17,324,179,145,,,,
1979,WildCard,Sun,"December 23, 1979",boxscore,L,,@,Houston Oilers,7,13,17,216,104,112,1,15,282,147,135,2,,,
1978,Division,Sat,"December 30, 1978",boxscore,L,,@,Pittsburgh Steelers,10,33,15,218,131,87,2,24,425,272,153,2,,,
1977,Division,Sat,"December 24, 1977",boxscore,W,,,Pittsburgh Steelers,34,21,15,258,155,103,1,18,304,177,127,4,,,
1977,ConfChamp,Sun,"January 1, 1978",boxscore,W,,,Oakland Raiders,20,17,16,308,217,91,1,20,298,204,94,3,,,
1977,SuperBowl,Sun,"January 15, 1978",boxscore,L,,N,Dallas Cowboys,10,27,11,156,35,121,8,17,325,182,143,2,,,
