Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2017,45,DEN,NFL,16,5,11,0,.313,-6.7,-3.9,-2.9,,,,,4,2,0,
2018,46,DEN,NFL,16,6,10,0,.375,-0.5,-3.6,3.1,,,,,3,7,2,
