Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1981,WAS,DC,28,13,16,16,12,9,10,15,12,12,7,16,16,7,10,18,13,11,10,16,13,19,21,17,17,22,3,9,12,9,22
1982,WAS,DC,28,1,2,5,6,7,12,2,5,10,21,17,3,24,12,8,3,5,4,1,11,5,8,12,14,3,11,7,3,20,7
1983,WAS,DC,28,1,1,1,3,3,1,1,1,3,1,12,1,19,7,5,2,2,12,11,1,1,1,1,7,2,28,28,24,1,22
1984,WAS,DC,28,5,4,4,17,9,3,3,2,4,4,17,10,21,19,9,2,14,18,11,4,2,2,14,19,3,26,25,20,10,17
1985,WAS,DC,28,8,21,17,4,14,20,17,3,2,4,6,18,13,23,26,11,26,3,11,21,3,8,8,13,27,3,1,10,9,7
1986,WAS,DC,28,3,17,8,8,5,9,9,14,17,2,22,2,10,6,9,17,4,21,9,24,8,14,15,16,27,17,20,11,17,18
1987,WAS,DC,28,3,16,4,8,3,4,18,9,7,3,5,20,17,4,4,11,2,18,6,15,8,10,9,12,24,27,24,8,6,11
1988,WAS,DC,28,17,28,17,8,6,10,26,25,25,26,26,27,2,2,1,25,4,16,26,27,6,9,17,12,28,11,22,23,27,24
1989,WAS,DC,28,6,12,9,2,2,5,17,8,14,12,19,26,4,1,7,9,3,9,13,3,3,2,3,1,13,19,21,23,2,15
1990,WAS,DC,28,8,6,8,4,4,4,8,4,6,9,14,1,7,5,10,22,10,14,13,9,4,9,4,18,18,22,16,15,6,10
1991,WAS,DC,28,1,1,1,1,4,1,3,1,7,1,18,4,26,5,2,3,1,3,2,3,2,3,12,11,14,27,9,5,2,2
1992,WAS,DC,28,12,3,12,9,12,14,4,7,13,16,25,1,13,12,20,12,9,7,8,10,6,13,11,21,23,12,6,6,5,8
1993,WAS,HC,28,26,14,24,28,26,25,14,26,16,12,5,4,10,26,25,22,28,26,23,12,25,26,21,21,11,8,20,26,16,26
