Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,435,5816,1040,5.6,12,8,303,316,511,3611,26,4,6.5,176,488,2205,22,4.5,108,108,890,19,207,33.3,5.3,Own 31.3,2:26,5.2,27.8,1.91,224,81,36.2%,18,8,44.4%,53,33,62.3%
2023,362,4593,1004,4.6,28,10,254,307,535,2800,23,18,4.8,136,420,1793,15,4.3,88,118,923,30,222,24.8,11.7,Own 29.9,2:07,4.6,20.7,1.43,230,67,29.1%,15,6,40.0%,42,30,71.4%
2022,381,5631,1041,5.4,20,9,329,315,519,3336,20,11,6.0,166,488,2295,22,4.7,129,88,714,34,187,38.5,10.2,Own 29.0,2:37,5.8,30.2,2.05,215,85,39.5%,18,8,44.4%,58,32,55.2%
2021,371,5296,1056,5.0,19,6,327,367,576,3439,29,13,5.6,184,437,1857,13,4.2,108,98,882,35,182,37.4,9.9,Own 28.7,2:44,6.0,28.9,2.04,219,86,39.3%,25,16,64.0%,52,34,65.4%
2020,419,5735,1035,5.5,21,10,352,371,585,3962,31,11,6.4,214,412,1773,16,4.3,116,84,690,22,165,43.0,12.7,Own 30.3,2:49,6.4,34.6,2.45,205,90,43.9%,27,22,81.5%,61,37,60.7%
2019,393,5785,1014,5.7,20,6,345,318,513,3470,25,14,6.3,184,463,2315,19,5.0,124,107,836,37,182,36.8,11.0,Own 28.0,2:40,5.7,31.7,2.07,195,74,37.9%,17,6,35.3%,57,35,61.4%
2018,392,6288,1122,5.6,31,14,377,393,626,4125,21,17,6.2,216,459,2163,20,4.7,130,119,990,31,201,35.3,15.4,Own 28.9,2:37,5.8,31.0,1.88,210,75,35.7%,20,13,65.0%,54,33,61.1%
2017,410,5250,1026,5.1,13,6,315,360,525,3684,28,7,6.6,189,467,1566,14,3.4,95,101,906,31,188,36.2,6.9,Own 30.5,2:47,5.6,27.8,2.00,224,91,40.6,10,5,50.0,46,31,67.4
2016,452,6279,1067,5.9,13,3,364,347,543,3996,36,10,7.0,220,498,2283,18,4.6,121,104,930,23,179,40.8,6.1,Own 30.2,2:56,6.1,35.0,2.43,206,93,45.1%,12,9,75.0%,60,40,66.7%
2015,432,6067,998,6.1,21,10,321,322,511,4012,34,11,7.4,186,458,2055,11,4.5,104,108,833,31,179,41.9,11.7,Own 29.0,2:42,5.8,33.8,2.26,203,81,39.9%,15,10,66.7%,62,36,58.1%
2014,337,5857,1118,5.2,29,8,348,335,587,3592,22,21,5.8,184,500,2265,13,4.5,126,98,769,38,198,32.3,13.6,Own 27.5,2:34,5.8,29.3,1.68,239,90,37.7%,18,11,61.1%,54,25,46.3%
2013,406,5319,1107,4.8,21,7,328,363,605,3538,29,14,5.5,197,462,1781,13,3.9,103,95,745,28,203,34.0,9.9,Own 31.0,2:28,5.6,26.1,1.85,244,109,44.7%,9,4,44.4%,50,32,64.0%
2012,368,5821,1095,5.3,29,12,345,378,600,3923,27,17,6.1,203,457,1898,14,4.2,104,120,1008,38,199,30.7,14.6,Own 28.1,2:36,5.6,29.3,1.74,223,85,38.1%,11,7,63.6%,53,30,56.6%
2011,307,5318,1035,5.1,20,11,301,265,469,2959,16,9,5.9,149,534,2359,12,4.4,124,90,726,28,174,33.3,11.5,Own 29.7,2:51,6.1,30.5,1.64,230,95,41.3%,14,6,42.9%,49,20,40.8%
2010,332,5601,1041,5.4,28,9,317,309,507,3531,26,19,6.6,195,505,2070,7,4.1,102,85,741,20,176,34.1,15.3,Own 28.7,2:58,6.1,31.8,1.77,224,96,42.9%,15,11,73.3%,48,23,47.9%
2009,375,6229,1072,5.8,19,9,336,313,526,3915,22,10,6.9,189,506,2314,15,4.6,120,101,812,27,186,36.0,8.6,Own 28.6,2:45,6.0,33.5,1.88,221,86,38.9%,20,10,50.0%,57,25,43.9%
2008,350,5704,1004,5.7,31,8,315,286,446,3273,19,23,7.1,176,541,2431,16,4.5,125,95,770,14,171,31.6,17.5,Own 31.8,3:02,6.0,33.3,1.77,207,95,45.9%,17,11,64.7%,54,27,50.0%
2007,382,5753,1066,5.4,27,10,335,340,578,3681,29,17,6.1,211,460,2072,8,4.5,100,80,581,24,187,36.9,13.4,Own 32.1,2:40,5.9,30.6,1.90,215,79,36.7%,25,11,44.0%,56,28,50.0%
2006,356,5515,1041,5.3,27,9,303,283,499,3242,20,18,6.2,178,514,2273,14,4.4,107,84,678,18,193,31.1,14.0,Own 30.5,2:34,5.6,28.5,1.64,228,100,43.9%,10,4,40.0%,51,26,51.0%
2005,301,5069,1021,5.0,23,8,292,279,471,2867,19,15,5.8,161,527,2202,11,4.2,116,97,716,15,179,32.4,11.7,Own 33.4,2:52,5.9,28.2,1.64,215,87,40.5%,18,8,44.4%,50,22,44.0%
2004,390,5215,1024,5.1,28,13,307,277,460,2901,17,15,5.9,144,532,2314,22,4.3,141,109,890,22,195,32.3,12.3,Own 33.0,2:39,5.4,26.7,1.77,216,78,36.1%,16,7,43.8%,53,31,58.5%
2003,322,4959,994,5.0,22,7,283,297,502,2846,13,15,5.3,160,457,2113,14,4.6,100,141,1095,23,178,34.8,11.2,Own 32.7,2:46,5.8,27.8,1.65,222,87,39.2%,13,8,61.5%,48,18,37.5%
2002,320,5348,1024,5.2,29,12,291,299,513,3269,20,17,6.0,164,483,2079,12,4.3,107,91,726,20,189,31.7,13.2,Own 31.8,2:35,5.6,28.2,1.63,226,91,40.3%,14,7,50.0%,55,19,34.5%
2001,319,5297,1089,4.9,42,9,295,309,552,3089,18,33,5.2,161,494,2208,11,4.5,112,103,779,22,204,26.5,20.1,Own 31.5,2:31,5.5,25.9,1.36,235,88,37.4%,23,8,34.8%,41,18,43.9%
2000,419,5643,1122,5.0,25,13,343,262,486,3138,18,12,5.9,169,594,2505,26,4.2,147,71,626,27,192,39.1,10.9,Own 34.7,2:50,6.0,29.3,2.09,226,97,42.9%,17,11,64.7%,60,34,56.7%
1999,437,6046,1158,5.2,20,12,368,331,523,3310,17,8,6.0,187,610,2736,29,4.5,161,88,776,20,188,42.0,9.6,Own 34.2,3:04,6.4,31.9,2.24,235,110,46.8%,13,8,61.5%,67,38,56.7%
