,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2023,154,2300,502,4.6,17,6,136,134,241,1260,5,11,4.8,64,238,1040,8,4.4,56,46,376,16,92,33.7,18.5,Own 28.7,2:35,5.67,24.9,1.58,103,32,31.1,8,4,50.0,18,11,61.1
1,2022,361,5934,1116,5.3,21,9,350,335,540,3444,19,12,5.9,182,532,2490,19,4.7,142,102,865,26,179,34.6,11.2,Own 28.2,3:00,6.37,33.0,1.89,231,88,38.1%,42,23,54.8%,56,30,53.6%
2,2021,349,5791,1054,5.5,22,8,342,320,520,3320,21,14,5.8,177,485,2471,20,5.1,138,112,1035,27,177,32.2,12.4,Own 28.4,2:57,6.08,32.6,1.89,212,83,39.2%,29,12,41.4%,50,31,62.0%
3,2020,408,5913,1022,5.8,16,8,355,315,501,3539,27,8,6.7,195,495,2374,21,4.8,133,100,870,27,165,40.6,9.7,Own 28.1,3:00,6.34,35.6,2.38,196,88,44.9%,24,8,33.3%,53,39,73.6%
4,2019,335,5455,973,5.6,28,7,305,318,539,3554,22,21,6.1,180,393,1901,15,4.8,90,122,1106,35,183,33.9,14.8,Own 29.3,2:36,5.48,29.7,1.83,196,71,36.2%,17,7,41.2%,50,29,58.0%
5,2018,359,5900,1023,5.8,24,7,314,353,574,4007,29,17,6.5,189,411,1893,15,4.6,93,112,894,32,202,31.2,11.4,Own 28.5,2:20,5.21,29.2,1.81,208,73,35.1%,21,9,42.9%,48,32,66.7%
6,2017,234,4942,1008,4.9,41,13,290,312,574,3228,15,28,5.2,157,384,1714,11,4.5,97,110,924,36,186,22.0,21.0,Own 26.5,2:26,5.53,26.5,1.22,216,73,33.8,23,12,52.2,39,19,48.7
7,2016,264,4976,983,5.1,25,11,296,338,567,3264,15,14,5.2,181,350,1712,13,4.9,83,95,736,32,180,27.2,13.3,Own 23.4,2:31,5.63,27.4,1.44,212,77,36.3%,18,13,72.2%,44,24,54.5%
8,2015,278,5311,1042,5.1,30,18,307,371,609,3782,20,12,5.7,192,380,1529,5,4.0,81,120,1083,34,178,29.8,15.2,Own 27.4,2:47,6.03,29.8,1.46,227,95,41.9%,24,10,41.7%,47,18,38.3%
9,2014,299,5193,1010,5.1,23,7,294,274,502,3465,12,16,6.5,179,477,1728,17,3.6,88,116,932,27,193,28.0,10.9,Own 26.8,2:20,5.40,26.8,1.44,207,61,29.5%,14,5,35.7%,49,24,49.0%
10,2013,308,5423,1078,5.0,29,9,301,379,681,4040,26,20,5.5,200,348,1383,4,4.0,77,104,920,24,195,26.2,13.8,Own 26.4,2:21,5.66,27.8,1.40,237,83,35.0%,31,14,45.2%,36,19,52.8%
11,2012,302,5028,998,5.0,26,8,279,328,566,3435,16,18,5.7,185,396,1593,12,4.0,71,113,1005,23,191,29.8,12.0,Own 29.0,2:22,5.39,26.2,1.48,218,67,30.7%,16,7,43.8%,39,17,43.6%
12,2011,218,4621,1024,4.5,19,6,278,320,570,3090,16,13,5.1,173,415,1531,4,3.7,77,95,847,28,180,24.4,10.0,Own 27.1,2:36,5.85,25.6,1.18,238,92,38.7%,18,10,55.6%,31,13,41.9%
13,2010,271,4635,927,5.0,29,11,265,296,478,2989,13,18,5.8,154,413,1646,13,4.0,87,78,675,24,177,27.7,15.8,Own 29.8,2:34,5.40,26.1,1.42,202,75,37.1%,7,5,71.4%,42,19,45.2%
14,2009,245,4163,971,4.3,31,13,237,219,443,2076,11,18,4.4,118,498,2087,10,4.2,102,77,678,17,189,23.3,16.4,Own 30.5,2:27,5.27,21.9,1.14,233,76,32.6%,15,10,66.7%,39,17,43.6%
15,2008,232,3985,921,4.3,26,6,233,238,488,2380,11,20,4.6,127,409,1605,6,3.9,84,100,669,22,172,27.3,14.5,Own 29.8,2:34,5.57,23.1,1.22,212,72,34.0%,14,6,42.9%,38,14,36.8%
