,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,1996,41,TAM,NFL,16,6,10,0,.375,-3.0,-5.9,2.9,,,,,4,,,
1,1997,42,TAM,NFL,16,10,6,0,.625,2.7,-2.4,5.1,2,1,1,.500,2,,,
2,1998,43,TAM,NFL,16,8,8,0,.500,1.3,-2.3,3.5,,,,,3,,,
3,1999,44,TAM,NFL,16,11,5,0,.688,2.6,-4.1,6.7,2,1,1,.500,1,8,2,
4,2000,45,TAM,NFL,16,10,6,0,.625,7.3,3.4,3.9,1,0,1,.000,2,2,2,
5,2001,46,TAM,NFL,16,9,7,0,.563,4.0,0.7,3.3,1,0,1,.000,3,9,4,
6,2002,47,IND,NFL,16,10,6,0,.625,1.2,0.4,0.7,1,0,1,.000,2,8,4,
7,2003,48,IND,NFL,16,12,4,0,.750,7.0,8.2,-1.2,3,2,1,.667,1,0,0,
8,2004,49,IND,NFL,16,12,4,0,.750,11.4,11.7,-0.3,2,1,1,.500,1,10,5,
9,2005,50,IND,NFL,16,14,2,0,.875,10.8,5.6,5.2,1,0,1,.000,1,6,2,
10,2006,51,IND,NFL,16,12,4,0,.750,5.9,6.9,-1.1,4,4,0,1.000,1,13,4,Super Bowl Champions
11,2007,52,IND,NFL,16,13,3,0,.813,12.0,6.6,5.4,1,0,1,.000,1,8,4,
12,2008,53,IND,NFL,16,12,4,0,.750,6.5,2.6,3.9,1,0,1,.000,2,5,1,
