Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1984,PIT,DC,28,9,11,9,6,8,8,21,3,6,15,19,10,25,15,7,21,4,5,11,5,7,4,11,2,22,15,15,9,2,16
1985,PIT,DC,28,16,16,12,8,13,9,11,7,13,17,15,2,13,13,8,23,13,6,15,21,12,12,19,12,19,7,2,6,16,8
1986,PIT,DC,28,19,16,19,21,20,18,13,4,7,7,14,13,21,24,21,12,23,18,17,20,11,15,4,19,20,20,18,21,14,15
1987,PIT,DC,28,10,4,16,24,25,20,9,4,5,20,6,1,25,28,27,26,28,13,10,5,12,4,5,4,11,13,23,14,3,27
1988,PIT,DC,28,22,22,24,24,15,13,24,13,6,8,4,25,18,21,20,16,19,28,28,16,21,14,22,5,18,23,27,24,12,28
1992,MIN,DC,28,4,3,4,10,11,4,12,5,7,4,14,20,19,18,12,6,16,8,7,2,14,14,11,12,13,22,7,3,1,2
1993,MIN,DC,28,9,5,17,8,17,20,5,17,21,21,17,4,12,14,13,9,14,1,12,9,7,6,21,10,23,7,6,1,2,8
1994,MIN,DC,28,6,13,8,2,3,7,21,19,20,17,17,19,2,3,18,23,9,5,13,7,1,1,5,1,4,26,21,23,10,8
1995,MIN,DC,30,14,2,10,8,4,4,13,17,16,19,11,13,3,5,2,13,13,20,27,2,2,4,8,8,11,29,28,27,2,21
1996,TAM,HC,30,23,21,25,24,28,30,23,11,22,24,28,20,21,29,28,20,27,11,8,17,13,22,18,27,18,7,4,6,16,9
1997,TAM,HC,30,8,12,12,18,29,23,11,8,11,9,13,9,30,30,12,9,18,3,2,19,7,6,6,13,13,14,10,3,21,8
1998,TAM,HC,30,13,21,12,9,22,18,18,3,4,12,10,18,29,27,14,18,22,2,5,19,11,8,14,11,7,5,2,1,26,7
1999,TAM,HC,31,5,17,14,19,28,27,23,4,15,27,22,28,31,30,22,11,26,3,3,14,2,5,7,16,21,22,2,1,9,2
2000,TAM,HC,31,9,3,4,19,21,6,5,10,9,5,14,8,30,26,19,6,18,9,7,4,9,9,12,17,7,31,13,7,3,2
2001,TAM,HC,31,12,2,10,15,26,15,5,25,30,2,30,8,3,15,28,2,28,6,8,2,10,12,6,18,20,8,5,16,2,9
2002,IND,HC,32,7,21,13,8,9,17,22,16,26,18,29,15,5,4,3,22,5,8,7,18,20,20,20,22,5,3,2,9,26,14
2003,IND,HC,32,3,6,4,3,3,2,2,13,19,9,26,10,5,1,4,3,3,11,20,12,10,20,28,24,4,1,5,9,14,19
2004,IND,HC,32,4,1,2,7,2,1,2,20,15,19,11,2,15,1,1,2,1,29,19,3,15,24,13,30,2,30,28,22,9,23
2005,IND,HC,32,1,4,1,2,3,2,4,12,16,6,24,3,15,3,2,5,1,11,2,7,4,16,4,28,10,16,15,6,9,10
2006,IND,HC,32,4,6,9,7,3,2,4,18,18,6,16,10,6,2,1,2,1,21,23,21,31,32,30,32,17,2,2,5,20,13
2007,IND,HC,32,2,2,2,2,5,3,2,13,18,2,22,1,15,6,4,6,4,3,1,2,20,15,9,6,9,8,2,2,2,4
2008,IND,HC,32,2,4,9,13,15,13,3,30,31,19,32,2,5,5,6,9,9,11,7,13,26,24,24,17,13,9,6,1,11,9
