,Year,Age,Level,Employer,Role
0,2015,30,NFL,Cleveland Browns,Quarterbacks
1,2016,31,NFL,San Francisco 49ers,Offensive Assistant
2,2017,32,NFL,Washington Redskins,Quarterbacks
3,2018,33,NFL,Washington Redskins,Quarterbacks
4,2019,34,NFL,Washington Redskins,Offensive Coordinator
5,2020,35,NFL,Los Angeles Rams,Offensive Coordinator
6,2021,36,NFL,Los Angeles Rams,Offensive Coordinator
7,2022,37,NFL,Minnesota Vikings,Head Coach
8,2023,38,NFL,Minnesota Vikings,Head Coach
9,2024,39,NFL,Minnesota Vikings,Head Coach
10,2025,40,NFL,Minnesota Vikings,Head Coach
