Year,Age,Level,Employer,Role
2011,25,College (FBS),Georgia,Strength & Conditioning
2012,26,College (FCS),Chattanooga,Running Backs
2013,27,College (FBS),Marshall,Running Backs
2014,28,College (FBS),Wisconsin,Running Backs
2015,29,College (FBS),Georgia,Running Backs
2016,30,College (FBS),Miami (FL),Offensive Coordinator/Running Backs
2017,31,College (FBS),Miami (FL),Offensive Coordinator/Running Backs
2018,32,College (FBS),Miami (FL),Offensive Coordinator/Running Backs
2019,33,College (FBS),South Carolina,Running Backs
2020,34,NFL,Los Angeles Rams,Running Backs
2021,35,NFL,Los Angeles Rams,Asst. HC/Running Backs
2022,36,NFL,Los Angeles Rams,Asst. HC/Tight Ends
2023,37,NFL,Carolina Panthers,Offensive Coordinator
2024,38,NFL,Chicago Bears,Passing Game Coordinator/Interim Offensive Coordinator/Interim Head Coach
2025,39,NFL,New England Patriots,Passing Game Coordinator/Tight Ends
