,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1961,38,New York Giants,NFL,14,10,3,1,.769,7.5,3.4,4.1,1,0,1,.000,1,
1,1962,39,New York Giants,NFL,14,12,2,0,.857,4.4,4.0,0.5,1,0,1,.000,1,
2,1963,40,New York Giants,NFL,14,11,3,0,.786,10.0,8.9,1.1,1,0,1,.000,1,
3,1964,41,New York Giants,NFL,14,2,10,2,.167,-12.6,-5.4,-7.2,,,,,7,
4,1965,42,New York Giants,NFL,14,7,7,0,.500,-10.3,-6.8,-3.5,,,,,2,
5,1966,43,New York Giants,NFL,14,1,12,1,.077,-16.8,-3.0,-13.7,,,,,8,
6,1967,44,New York Giants,NFL,14,7,7,0,.500,-1.6,4.3,-5.9,,,,,2,
7,1968,45,New York Giants,NFL,14,7,7,0,.500,-2.4,0.0,-2.4,,,,,2,
