Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1959,NYG,OC,12,1,5,2,1,3,2,6,3,8,9,9,11,7,3,3,2,1,1,1,4,3,1,1,1,5,6,1,1,2,1
1960,NYG,OC,13,4,11,7,3,7,6,12,6,9,6,10,13,8,4,4,8,5,3,8,7,7,2,2,1,8,5,6,8,5,6
1961,NYG,HC,14,2,2,2,4,5,2,11,4,9,9,11,10,5,4,2,6,7,4,1,1,8,9,1,9,2,9,2,8,1,2
1962,NYG,HC,14,2,5,3,4,1,2,5,7,8,10,9,3,6,2,1,6,1,6,4,7,6,7,4,9,11,14,7,8,4,5
1963,NYG,HC,14,3,2,1,1,1,1,4,5,7,9,7,3,4,2,1,6,1,3,5,2,3,5,8,7,7,3,3,8,2,3
1964,NYG,HC,14,14,13,14,14,13,13,14,6,11,8,14,13,3,8,11,14,12,11,14,8,14,12,8,7,6,2,7,14,11,11
1965,NYG,HC,14,6,4,13,13,9,10,4,9,6,9,6,5,12,9,4,4,5,14,10,6,11,12,13,13,3,8,13,4,11,13
1966,NYG,HC,15,15,15,15,14,9,12,13,13,12,14,8,7,5,9,6,15,8,14,15,14,15,14,15,13,15,1,14,15,12,15
1967,NYG,HC,16,7,7,9,5,3,3,3,10,6,3,2,2,9,4,1,7,2,11,13,12,6,11,15,14,4,6,8,11,13,10
1968,NYG,HC,16,8,3,9,8,5,7,2,5,7,8,7,5,10,7,7,4,6,10,10,6,6,12,16,15,7,8,9,7,3,10
