Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1969,OAK,HC,10,1,2,2,2,1,1,3,3,4,10,8,1,4,1,1,7,1,2,2,3,7,6,6,4,3,6,2,2,4,2
1970,OAK,HC,26,8,16,13,4,1,9,8,5,7,23,6,2,4,2,1,13,2,19,19,22,17,23,9,23,25,4,6,25,14,10
1971,OAK,HC,26,7,12,8,13,7,2,15,13,8,3,4,7,16,13,3,18,12,16,14,8,16,12,15,10,9,15,22,11,9,18
1972,OAK,HC,26,4,8,4,2,3,3,11,5,3,3,4,19,13,7,2,8,9,12,8,6,14,10,4,4,19,13,13,9,4,14
1973,OAK,HC,26,8,15,7,2,3,10,15,4,4,10,3,14,11,9,9,16,10,2,3,12,2,2,1,2,14,20,8,9,13,3
1974,OAK,HC,26,1,2,1,7,2,1,6,3,3,9,7,5,23,6,1,11,1,16,9,3,7,21,8,26,10,11,13,6,2,10
1975,OAK,HC,26,4,17,6,2,4,4,23,1,3,1,13,22,21,11,7,21,5,3,7,8,8,6,12,7,26,19,5,7,1,2
1976,OAK,HC,28,1,19,7,7,2,4,4,8,10,14,14,2,15,3,1,15,2,18,12,26,6,10,20,15,28,21,23,9,16,20
1977,OAK,HC,28,3,6,4,4,2,1,20,1,2,2,14,16,19,11,3,22,4,15,14,3,1,7,3,25,5,18,22,24,3,19
1978,OAK,HC,28,8,13,8,10,10,10,20,13,16,8,20,3,13,11,14,26,12,16,10,8,17,13,11,11,22,25,20,14,4,17
