,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1976,45,New York Giants,NFL,7,3,4,0,.429,-3.4,-5.5,2.1,,,,,5,
1,1977,46,New York Giants,NFL,14,5,9,0,.357,-6.2,-4.0,-2.2,,,,,5,
2,1978,47,New York Giants,NFL,16,6,10,0,.375,-2.5,-1.1,-1.3,,,,,5,
