Year,Age,Level,Employer,Role
1927,29,College,Notre Dame,Line Coach
1928,30,College,Saint Louis,Head Coach
1929,31,College,Saint Louis,Head Coach
1930,32,College,Notre Dame,Line Coach
1931,33,College,Notre Dame,Head Coach
1932,34,College,Notre Dame,Head Coach
1933,35,College,Notre Dame,Head Coach
1934,36,College,North Carolina State,Head Coach
1935,37,College,North Carolina State,Head Coach
1936,38,College,North Carolina State,Head Coach
1937,39,College,Michigan,Line Coach
1939,41,NFL,Detroit Lions,Line Coach
1940,42,NFL,Chicago Bears,Line Coach
1941,43,NFL,Chicago Bears,Line Coach
1942,44,NFL,Chicago Bears,Head Coach
1943,45,NFL,Chicago Bears,Head Coach
1944,46,NFL,Chicago Bears,Head Coach
1945,47,NFL,Chicago Bears,Head Coach
1946,48,NFL,Chicago Bears,Line Coach
1947,49,NFL,Chicago Bears,Line Coach
1948,50,NFL,Chicago Bears,Line Coach
1949,51,NFL,Chicago Bears,Line Coach
1950,52,NFL,Chicago Bears,Line Coach
