Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1920,33,CAN,APFA,13,7,4,2,.636,18.2,8.7,9.5,,,,,8,
1921,34,CLE,APFA,8,3,5,0,.375,1.2,-3.1,4.3,,,,,11,
1922,35,OOR,NFL,9,3,6,0,.333,-4.3,3.3,-7.7,,,,,11,
1923,36,OOR,NFL,11,1,10,0,.091,-12.4,0.9,-13.2,,,,,18,
