Year,Age,Level,Employer,Role
1983,23,College (NAIA),Wayne State (NE),Defensive Backs/Special Teams
1984,24,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers
1985,25,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers
1986,26,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers
1987,27,College (NAIA),Wayne State (NE),Quarterbacks/Wide Receivers
1988,28,College (FBS),South Carolina,Tight Ends/Wide Receivers (Graduate)
1989,29,College (FBS),South Carolina,Defensive Ends/Special Teams (Volunteer)
1990,30,College (FBS),South Carolina,Defensive Ends/Special Teams (Volunteer)
1991,31,College (FBS),South Carolina,Tight Ends/Special Teams (Volunteer)
1992,32,College (FBS),South Carolina,Running Backs/Special Teams
1993,33,College (FBS),South Carolina,Running Backs/Special Teams
1994,34,College (FBS),Clemson,Running Backs/Special Teams
1995,35,College (FBS),Clemson,Running Backs/Special Teams
1996,36,College (FBS),Clemson,Running Backs/Special Teams
1997,37,College (FBS),Clemson,Running Backs/Special Teams
1998,38,College (FBS),Clemson,Running Backs/Special Teams
1999,39,College (FBS),Ole Miss,Running Backs/Special Teams
2000,40,College (FBS),Ole Miss,Asst. Head Coach/Running Backs/Special Teams
2001,41,College (FBS),Ole Miss,Asst. Head Coach/Running Backs/Special Teams
2002,42,NFL,Tampa Bay Buccaneers,Special Teams
2003,43,NFL,Tampa Bay Buccaneers,Special Teams
2004,44,NFL,Tampa Bay Buccaneers,Special Teams
2005,45,NFL,Tampa Bay Buccaneers,Special Teams
2006,46,NFL,Tampa Bay Buccaneers,Special Teams
2007,47,NFL,Tampa Bay Buccaneers,Special Teams
2008,48,NFL,Tampa Bay Buccaneers,Asst. Head Coach/Running Backs/Special Teams
2009,49,NFL,Tampa Bay Buccaneers,Asst. Head Coach/Special Teams
2010,50,NFL,Tampa Bay Buccaneers,Asst. Head Coach/Special Teams
2011,51,NFL,San Diego Chargers,Special Teams Coordinator
2012,52,NFL,San Diego Chargers,Asst. Head Coach/Special Teams
2013,53,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams
2014,54,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams
2015,55,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams
2016,56,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams
2017,57,NFL,Dallas Cowboys,Asst. Head Coach/Special Teams
2018,58,NFL,Oakland Raiders,Asst. Head Coach/Special Teams
2019,59,NFL,Oakland Raiders,Asst. Head Coach/Special Teams
2020,60,NFL,Las Vegas Raiders,Asst. Head Coach/Special Teams
2021,61,NFL,Las Vegas Raiders,Interim Head Coach/Special Teams
2022,62,NFL,Green Bay Packers,Special Teams
2023,63,NFL,Green Bay Packers,Special Teams/Asst. Head Coach
2024,64,NFL,Green Bay Packers,Special Teams/Asst. Head Coach
2025,65,NFL,Green Bay Packers,Special Teams/Asst. Head Coach
