,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2000,46,Washington Redskins,NFL,3,1,2,0,.333,1.0,-2.9,3.8,,,,,3,0,0,Coach starting week 15
1,2004,50,Cleveland Browns,NFL,5,1,4,0,.200,-3.4,-1.5,-1.9,,,,,4,5,2,Coach starting week 13
