Year,Age,Level,Employer,Role
1968,34,NFL,San Francisco 49ers,Defensive Line
1969,35,NFL,San Francisco 49ers,Defensive Line
1970,36,NFL,San Francisco 49ers,Defensive Line
1971,37,NFL,San Francisco 49ers,Defensive Line
1972,38,NFL,San Francisco 49ers,Defensive Line
1973,39,NFL,San Francisco 49ers,Defensive Line
1974,40,NFL,San Francisco 49ers,Defensive Coordinator
1975,41,NFL,Kansas City Chiefs,Head Coach
1976,42,NFL,Kansas City Chiefs,Head Coach
1977,43,NFL,Kansas City Chiefs,Head Coach
1978,44,NFL,New Orleans Saints,Defensive Coordinator
1979,45,NFL,New Orleans Saints,Defensive Coordinator
1980,46,College,Stanford,Head Coach
1981,47,College,Stanford,Head Coach
1982,48,College,Stanford,Head Coach
1983,49,College,Stanford,Head Coach
1985,51,NFL,Minnesota Vikings,Defensive Line
1986,52,NFL,Minnesota Vikings,Defensive Line
1987,53,NFL,Minnesota Vikings,Defensive Line
1988,54,NFL,Minnesota Vikings,Defensive Line
1989,55,NFL,Minnesota Vikings,Defensive Line
1990,56,NFL,Minnesota Vikings,Defensive Line
1991,57,NFL,Minnesota Vikings,Defensive Line
