Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1961,42,BOS,AFL,9,7,1,1,.875,6.3,4.8,1.4,,,,,2,
1962,43,BOS,AFL,14,9,4,1,.692,3.2,1.3,1.9,,,,,2,
1963,44,BOS,AFL,14,7,6,1,.538,4.4,-0.5,4.9,2,1,1,.500,1,
1964,45,BOS,AFL,14,10,3,1,.769,4.3,2.6,1.7,,,,,2,
1965,46,BOS,AFL,14,4,8,2,.333,-3.6,-4.1,0.5,,,,,3,
1966,47,BOS,AFL,14,8,4,2,.667,2.5,-0.4,2.9,,,,,2,
1967,48,BOS,AFL,14,3,10,1,.231,-6.7,-1.7,-5.0,,,,,5,
1968,49,BOS,AFL,14,4,10,0,.286,-12.8,-5.9,-6.9,,,,,4,
1976,57,NYJ,NFL,1,0,1,0,.000,-13.8,-7.1,-6.8,,,,,4,
