Year,Age,Level,Employer,Role
1949,30,College,Boston College,Freshman Coach
1950,31,College,Boston College,Freshman Coach
1951,32,College,Boston College,Head Coach
1952,33,College,Boston College,Head Coach
1953,34,College,Boston College,Head Coach
1954,35,College,Boston College,Head Coach
1955,36,College,Boston College,Head Coach
1956,37,College,Boston College,Head Coach
1957,38,College,Boston College,Head Coach
1958,39,College,Boston College,Head Coach
1959,40,College,Boston College,Head Coach
1960,41,AFL,Boston Patriots,Offensive Backfield
1961,42,AFL,Boston Patriots,Head Coach
1962,43,AFL,Boston Patriots,Head Coach
1963,44,AFL,Boston Patriots,Head Coach
1964,45,AFL,Boston Patriots,Head Coach
1965,46,AFL,Boston Patriots,Head Coach
1966,47,AFL,Boston Patriots,Head Coach
1967,48,AFL,Boston Patriots,Head Coach
1968,49,AFL,Boston Patriots,Head Coach
1969,50,NFL,San Francisco 49ers,Offensive Backfield
1971,52,NFL,Oakland Raiders,Receivers
1973,54,NFL,New York Jets,Receivers
1974,55,NFL,New York Jets,Offensive Backfield
1976,57,NFL,New York Jets,Head Coach
