,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,2006,NWE,OC,32,4,4,4,8,11,7,16,6,12,4,18,25,12,12,7,6,12,6,2,4,4,5,9,10,10,19,12,1,4,12
1,2007,NWE,OC,32,1,3,1,1,1,1,1,9,13,5,14,3,5,1,1,3,1,4,4,9,1,10,3,26,13,12,6,18,6,5
2,2008,NWE,OC,32,6,15,6,6,5,8,8,4,6,4,7,13,12,12,13,5,13,10,8,20,11,15,4,15,20,7,11,31,15,21
3,2009,DEN,HC,32,16,7,18,13,15,20,7,14,18,22,17,11,9,13,16,7,15,7,12,9,22,26,11,27,6,9,3,8,13,3
4,2010,DEN,HC,32,29,27,29,25,13,19,16,27,26,12,24,27,7,7,15,7,9,32,32,30,31,31,32,29,24,5,25,24,30,30
5,2011,STL,OC,32,31,23,32,30,31,32,11,23,23,29,20,26,16,30,32,4,31,22,26,28,30,31,27,28,28,5,7,9,23,17
6,2012,NWE,OC,32,3,1,1,5,1,1,2,2,7,1,17,8,4,4,4,4,6,25,9,2,11,9,8,6,1,26,29,21,5,27
7,2013,NWE,OC,32,3,8,8,13,7,3,8,9,9,2,9,9,7,10,13,7,15,26,10,10,29,30,11,24,5,23,18,14,12,11
8,2014,NWE,OC,32,1,2,1,10,11,4,1,13,18,12,22,2,7,9,5,4,17,13,8,14,12,9,2,9,18,24,17,12,12,16
9,2015,NWE,OC,32,3,5,3,8,6,3,1,25,30,11,29,2,5,5,1,1,7,9,10,22,10,9,6,11,16,21,17,11,20,8
10,2016,NWE,OC,32,1,3,1,2,4,3,1,3,7,5,25,13,23,4,6,1,3,8,1,14,3,3,1,8,9,26,12,8,15,6
11,2017,NWE,OC,32,1,11,1,9,1,2,2,11,10,6,12,2,7,2,3,2,5,29,5,25,5,20,2,31,23,30,30,18,18,20
12,2018,NWE,OC,32,6,5,5,8,5,4,7,3,5,4,20,8,11,8,11,10,6,21,7,5,6,11,2,29,12,28,22,19,3,9
13,2019,NWE,OC,32,5,1,2,4,15,7,3,9,18,10,25,2,5,8,16,11,18,1,1,2,5,6,1,14,7,8,2,1,1,2
14,2020,NWE,OC,32,17,13,19,22,27,27,14,3,4,6,8,2,31,30,31,23,23,15,7,10,26,26,18,20,32,1,8,5,1,23
15,2021,NWE,OC,32,9,8,3,6,15,6,17,8,8,2,12,23,25,14,15,11,7,4,2,3,20,22,1,25,20,4,2,4,2,2
16,2022,LVR,HC,32,26,30,22,22,12,12,8,21,17,22,6,1,12,11,9,28,12,28,26,32,17,19,25,23,23,20,29,19,31,28
17,2023,LVR,HC,32,20,20,16,26,27,23,20,27,30,20,28,4,22,23,22,27,23,15,9,19,22,21,17,18,17,12,12,10,17,11
