,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2018,43,TEN,NFL,16,9,7,0,.563,0.2,-3.2,3.5,,,,,3,5,0,
1,2019,44,TEN,NFL,16,9,7,0,.563,3.4,1.8,1.7,3,2,1,.667,2,5,3,
2,2020,45,TEN,NFL,16,11,5,0,.688,1.6,4.7,-3.1,1,0,1,.000,1,4,2,
3,2021,46,TEN,NFL,17,12,5,0,.706,3.4,1.8,1.6,1,0,1,.000,1,4,4,
4,2022,47,TEN,NFL,17,7,10,0,.412,-3.6,-4.7,1.1,,,,,2,3,2,
5,2023,48,TEN,NFL,7,3,4,0,.429,1.6,-1.7,3.3,,,,,2,1,0,
