,Year,Age,Level,Employer,Role
0,2011,36,College (FBS),Ohio State,Linebackers
1,2012,37,College (FBS),Ohio State,Defensive Line
2,2013,38,College (FBS),Ohio State,Defensive Line
3,2014,39,NFL,Houston Texans,Linebackers
4,2015,40,NFL,Houston Texans,Linebackers
5,2016,41,NFL,Houston Texans,Linebackers
6,2017,42,NFL,Houston Texans,Defensive Coordinator
7,2018,43,NFL,Tennessee Titans,Head Coach
8,2019,44,NFL,Tennessee Titans,Head Coach
9,2020,45,NFL,Tennessee Titans,Head Coach
10,2021,46,NFL,Tennessee Titans,Head Coach
11,2022,47,NFL,Tennessee Titans,Head Coach
12,2023,48,NFL,Tennessee Titans,Head Coach
13,2024,49,NFL,Cleveland Browns,Consultant
14,2025,50,NFL,New England Patriots,Head Coach
