Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
2002,WAS,HC,32,20,29,26,14,20,25,29,15,13,23,12,32,12,21,11,23,26,5,21,22,15,12,11,12,15,12,5,9,22,5
2003,WAS,HC,32,23,10,25,27,23,22,13,22,22,26,20,18,11,21,13,12,23,25,24,12,28,24,29,21,7,5,14,22,11,26
