Year,Age,Level,Employer,Role
1978,33,College,Florida,Quarterbacks
1979,34,College,Georgia Tech,Quarterbacks
1980,35,College,Duke,Offensive Coordinator
1981,36,College,Duke,Offensive Coordinator
1982,37,College,Duke,Offensive Coordinator
1983,38,USFL,Tampa Bay Bandits,Head Coach
1984,39,USFL,Tampa Bay Bandits,Head Coach
1985,40,USFL,Tampa Bay Bandits,Head Coach
1987,42,College,Duke,Head Coach
1988,43,College,Duke,Head Coach
1989,44,College,Duke,Head Coach
1990,45,College,Florida,Head Coach
1991,46,College,Florida,Head Coach
1992,47,College,Florida,Head Coach
1993,48,College,Florida,Head Coach
1994,49,College,Florida,Head Coach
1995,50,College,Florida,Head Coach
1996,51,College,Florida,Head Coach
1997,52,College,Florida,Head Coach
1998,53,College,Florida,Head Coach
1999,54,College,Florida,Head Coach
2000,55,College,Florida,Head Coach
2001,56,College,Florida,Head Coach
2002,57,NFL,Washington Redskins,Head Coach
2003,58,NFL,Washington Redskins,Head Coach
2005,60,College,South Carolina,Head Coach
2006,61,College,South Carolina,Head Coach
2007,62,College,South Carolina,Head Coach
2008,63,College,South Carolina,Head Coach
2009,64,College,South Carolina,Head Coach
2010,65,College,South Carolina,Head Coach
2011,66,College,South Carolina,Head Coach
2012,67,College,South Carolina,Head Coach
2013,68,College,South Carolina,Head Coach
2014,69,College,South Carolina,Head Coach
2015,70,College,South Carolina,Head Coach
2019,74,AAF,Orlando Apollos,Head Coach
