,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1956,36,SFO,NFL,12,5,6,1,.455,-2.7,-1.9,-0.7,,,,,3,
1,1957,37,SFO,NFL,12,8,4,0,.667,-0.2,0.9,-1.2,1,0,1,.000,1,
2,1958,38,SFO,NFL,12,6,6,0,.500,-3.8,-0.7,-3.1,,,,,4,
