Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1996,NOR,DC,30,28,28,28,27,29,29,26,29,30,16,26,29,19,25,27,12,25,13,20,28,29,27,12,22,22,2,3,16,25,13
1997,PIT,DC,30,5,14,8,5,6,7,23,1,1,3,8,19,26,23,9,22,7,6,11,4,3,1,1,1,10,24,18,22,6,12
1998,PIT,DC,30,18,19,17,21,25,28,19,8,7,24,9,15,22,29,27,25,27,12,7,16,18,13,4,3,11,9,18,3,17,24
1999,PIT,DC,31,22,12,19,18,22,17,7,5,10,7,13,2,17,26,19,16,27,11,12,20,23,26,13,29,11,1,4,11,23,14
2000,NOR,HC,31,9,8,12,10,10,10,9,7,8,12,16,8,22,14,9,9,9,8,10,8,7,10,20,20,10,8,10,9,9,11
2001,NOR,HC,31,16,21,24,13,10,13,23,20,18,26,15,16,6,10,4,24,16,16,27,14,15,14,22,13,6,1,17,29,20,28
2002,NOR,HC,32,11,9,10,25,19,3,17,19,17,11,16,22,21,16,3,12,15,27,26,3,16,19,27,26,4,30,27,25,7,23
2003,NOR,HC,32,15,18,17,15,11,14,13,15,11,20,9,32,8,8,8,1,14,18,14,16,25,27,13,28,7,7,8,16,20,15
2004,NOR,HC,32,14,10,24,31,15,14,12,26,27,8,21,8,10,12,16,14,18,32,27,8,25,30,23,31,1,28,27,19,24,27
2005,NOR,HC,32,31,31,30,19,20,31,31,22,18,27,15,31,11,14,26,30,20,14,28,29,26,27,23,26,27,1,3,17,26,28
2006,STL,DC,32,13,2,18,11,6,10,3,23,17,14,10,10,3,4,8,1,11,23,28,7,24,31,32,30,5,3,8,16,13,22
2007,STL,DC,32,31,27,32,25,24,28,29,24,25,32,25,8,9,19,17,32,27,21,31,19,16,20,27,19,25,9,21,22,10,27
2008,STL,HC,32,30,23,31,28,27,30,27,22,25,30,25,20,15,26,30,26,28,28,31,13,28,29,30,29,5,2,19,14,21,31
,STL,DC,32,30,23,31,28,27,30,27,22,25,30,25,20,15,26,30,26,28,28,31,13,28,29,30,29,5,2,19,14,21,31
2010,WAS,DC,32,20,19,27,26,18,25,21,31,30,24,16,21,4,8,22,20,18,31,21,15,20,26,24,26,7,25,31,13,19,29
2011,WAS,DC,32,26,30,24,16,16,26,30,25,25,26,22,22,5,14,23,29,16,13,21,23,18,18,23,18,24,10,12,13,22,22
2012,WAS,DC,32,9,3,12,13,5,4,1,3,1,2,2,5,30,20,13,1,2,28,22,5,1,5,12,17,18,32,30,29,3,24
2013,WAS,DC,32,31,25,30,11,9,23,30,13,5,13,3,29,9,16,24,20,23,18,30,16,19,17,32,14,15,4,20,21,15,30
2014,WAS,DC,32,27,30,29,17,13,26,29,21,19,9,14,25,18,11,27,26,10,20,29,25,14,12,14,13,6,2,24,32,28,30
