Year,Age,Level,Employer,Role
1988,33,College,Buffalo,Linebackers
1989,34,College,Buffalo,Defensive Coordinator
1990,35,College,Buffalo,Defensive Coordinator
1991,36,WLAF,Sacramento Surge,Defensive Coordinator
1992,37,WLAF,Sacramento Surge,Defensive Coordinator
1993,38,NFL,Los Angeles Raiders,Linebackers
1994,39,NFL,Los Angeles Raiders,Linebackers
1995,40,NFL,New Orleans Saints,Linebackers
1996,41,NFL,New Orleans Saints,Defensive Coordinator
1997,42,NFL,Pittsburgh Steelers,Defensive Coordinator
1998,43,NFL,Pittsburgh Steelers,Defensive Coordinator
1999,44,NFL,Pittsburgh Steelers,Defensive Coordinator
2000,45,NFL,New Orleans Saints,Head Coach
2001,46,NFL,New Orleans Saints,Head Coach
2002,47,NFL,New Orleans Saints,Head Coach
2003,48,NFL,New Orleans Saints,Head Coach
2004,49,NFL,New Orleans Saints,Head Coach
2005,50,NFL,New Orleans Saints,Head Coach
2006,51,NFL,St. Louis Rams,Defensive Coordinator
2007,52,NFL,St. Louis Rams,Defensive Coordinator
2008,53,NFL,St. Louis Rams,Interim HC/Defensive Coordinator
2009,54,UFL,Florida Tuskers,Head Coach
2010,55,NFL,Washington Redskins,Defensive Coordinator
2011,56,NFL,Washington Redskins,Defensive Coordinator
2012,57,NFL,Washington Redskins,Defensive Coordinator
2013,58,NFL,Washington Redskins,Defensive Coordinator
2014,59,NFL,Washington Redskins,Defensive Coordinator
2015,60,College,Penn State,Consultant
2016,61,NFL,Cincinnati Bengals,Linebackers
2017,62,NFL,Cincinnati Bengals,Linebackers
2018,63,NFL,Cincinnati Bengals,Linebackers
2020,65,NFL,Tennessee Titans,Inside Linebackers
2021,66,NFL,Tennessee Titans,Inside Linebackers
2023,68,XFL,Seattle Sea Dragons,Head Coach
