Year,Age,Level,Employer,Role
1957,31,NFL,San Francisco 49ers,Offensive Line
1958,32,NFL,San Francisco 49ers,Offensive Line
1959,33,NFL,San Francisco 49ers,Offensive Line
1960,34,NFL,San Francisco 49ers,Offensive Line
1961,35,NFL,San Francisco 49ers,Offensive Line
1962,36,NFL,San Francisco 49ers,Offensive Line
1963,37,NFL,San Francisco 49ers,Offensive Line
1964,38,NFL,San Francisco 49ers,Offensive Line
1965,39,NFL,San Francisco 49ers,Offensive Line
1966,40,NFL,San Francisco 49ers,Offensive Line
1967,41,NFL,San Francisco 49ers,Offensive Line
1968,42,AFL,Cincinnati Bengals,Offensive Line
1969,43,AFL,Cincinnati Bengals,Offensive Line
1970,44,NFL,Cincinnati Bengals,Offensive Line
1971,45,NFL,Cincinnati Bengals,Offensive Line
1972,46,NFL,Cincinnati Bengals,Offensive Line
1973,47,NFL,Cincinnati Bengals,Offensive Line
1974,48,NFL,Cincinnati Bengals,Offensive Line
1975,49,NFL,Cincinnati Bengals,Offensive Line
1976,50,NFL,Cincinnati Bengals,Head Coach
1977,51,NFL,Cincinnati Bengals,Head Coach
1978,52,NFL,Cincinnati Bengals,Head Coach
1979,53,NFL,Tampa Bay Buccaneers,Offensive Line
1980,54,NFL,Tampa Bay Buccaneers,Offensive Line
1981,55,NFL,Tampa Bay Buccaneers,Offensive Line
1982,56,NFL,Tampa Bay Buccaneers,Offensive Line
1983,57,NFL,Detroit Lions,Offensive Line
1984,58,NFL,Detroit Lions,Offensive Line
1985,59,NFL,Cincinnati Bengals,Tight Ends
1986,60,NFL,Cincinnati Bengals,Tight Ends
1987,61,NFL,Cincinnati Bengals,Tight Ends
1988,62,NFL,Cincinnati Bengals,Tight Ends
1989,63,NFL,Cincinnati Bengals,Tight Ends
1990,64,NFL,Cincinnati Bengals,Tight Ends
