Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1976,50,CIN,NFL,14,10,4,0,.714,10.1,5.0,5.1,,,,,2,
1977,51,CIN,NFL,14,8,6,0,.571,2.2,0.6,1.6,,,,,2,
1978,52,CIN,NFL,5,0,5,0,.000,-1.3,-2.7,1.3,,,,,4,
