Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1946,39,WAS,NFL,11,5,5,1,.500,-2.2,-2.8,0.6,,,,,3,
1947,40,WAS,NFL,12,4,8,0,.333,-7.7,2.7,-10.4,,,,,4,
1948,41,WAS,NFL,12,7,5,0,.583,-1.6,0.5,-2.2,,,,,2,
