,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1989,58,CLE,NFL,16,9,6,1,.594,4.4,-0.2,4.6,2,1,1,.500,1,
1,1990,59,CLE,NFL,9,2,7,0,.222,-13.0,-5.2,-7.8,,,,,4,
