Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1972,PIT,DC,26,2,1,2,8,13,5,3,11,2,2,1,12,19,22,19,3,22,8,2,1,10,6,1,7,1,26,10,2,1,2
1973,PIT,DC,26,4,2,4,6,11,4,22,3,8,14,17,8,18,15,5,23,11,4,8,1,9,5,6,4,6,18,5,5,1,4
1974,PIT,DC,26,3,5,3,2,8,6,24,4,2,5,4,25,10,21,15,14,20,1,2,1,12,6,2,4,1,6,1,13,3,1
1975,PIT,DC,26,1,11,1,5,7,5,7,5,2,5,2,22,23,14,5,2,8,4,2,13,3,8,3,22,23,18,4,1,4,5
1976,PIT,DC,28,7,2,1,1,9,5,7,1,1,1,3,18,28,22,21,3,13,1,1,5,4,1,1,1,3,16,6,3,9,6
1977,PIT,DC,28,7,17,10,3,4,7,27,6,7,2,13,28,16,5,8,13,2,7,17,5,8,5,7,5,16,16,12,22,1,11
1978,RAM,DC,28,2,15,6,3,6,9,21,6,12,22,19,24,7,7,21,15,13,1,4,8,2,3,2,8,22,6,2,9,4,1
1979,RAM,DC,28,11,21,13,6,13,15,27,7,7,15,10,22,15,17,12,28,18,7,11,10,19,10,5,8,14,10,9,24,7,7
1980,RAM,DC,28,4,9,3,2,2,3,9,1,1,10,2,8,23,11,1,10,6,4,7,7,3,12,10,25,6,18,3,17,9,1
1981,RAM,DC,28,22,24,19,20,24,21,23,7,8,10,18,6,19,26,24,27,26,8,17,23,25,23,21,18,19,1,2,8,21,8
1982,BAL,DC,28,28,27,28,27,27,28,11,10,14,25,20,22,14,24,27,8,28,26,26,28,28,28,21,26,25,4,15,27,27,27
1983,KAN,DC,28,23,5,9,12,9,8,11,28,28,21,27,15,1,3,5,9,8,14,21,3,22,20,20,13,4,15,10,13,2,11
1985,NYJ,DC,28,4,2,3,3,4,7,1,5,7,11,13,24,20,9,7,1,5,8,3,7,4,3,5,2,5,13,16,5,12,15
1986,NYJ,DC,28,8,13,17,24,11,11,15,11,18,10,23,13,12,9,4,16,10,26,22,10,6,6,9,7,8,27,28,28,14,26
1987,NYJ,DC,28,19,18,17,19,20,14,12,21,22,5,23,20,5,16,19,4,26,19,20,21,17,16,17,14,24,15,20,25,15,20
1988,NYJ,DC,28,15,3,12,21,13,6,3,9,8,6,10,16,8,19,15,1,23,23,21,5,22,21,14,19,10,7,23,26,4,27
1989,CLE,HC,28,9,7,8,13,16,14,5,18,21,12,24,15,10,11,16,5,13,7,4,8,10,10,2,9,24,21,9,13,2,6
1990,CLE,HC,28,27,28,27,25,25,27,28,26,28,21,28,28,3,12,27,23,26,17,28,27,24,23,26,16,26,5,15,28,21,21
1991,PHI,DC,28,9,8,9,6,25,18,26,13,21,22,28,18,7,20,12,27,24,1,5,1,4,1,1,1,1,6,1,7,3,1
1992,PHI,DC,28,4,5,5,8,7,5,7,3,2,4,2,16,24,23,8,4,22,6,6,6,5,5,1,11,16,26,12,16,3,5
1993,PHI,DC,28,14,13,19,18,15,17,18,11,15,24,15,28,7,16,5,8,23,17,19,7,18,24,15,27,8,5,8,21,8,19
1994,PHI,DC,28,17,6,12,9,14,17,9,15,9,7,4,13,9,14,18,5,25,4,11,5,17,11,11,13,7,3,6,11,7,9
1997,STL,DC,30,25,6,23,19,21,23,19,17,24,9,25,22,17,17,26,14,16,17,19,3,12,9,6,12,10,21,17,26,2,17
