Year,Age,Level,Employer,Role
1966,35,College,Georgia Tech,Defensive Coordinator
1967,36,College,Georgia Tech,Head Coach
1968,37,College,Georgia Tech,Head Coach
1969,38,College,Georgia Tech,Head Coach
1970,39,College,Georgia Tech,Head Coach
1971,40,College,Georgia Tech,Head Coach
1972,41,NFL,Pittsburgh Steelers,Defensive Coordinator
1973,42,NFL,Pittsburgh Steelers,Defensive Coordinator
1974,43,NFL,Pittsburgh Steelers,Defensive Coordinator
1975,44,NFL,Pittsburgh Steelers,Defensive Coordinator
1976,45,NFL,Pittsburgh Steelers,Defensive Coordinator
1977,46,NFL,Pittsburgh Steelers,Defensive Coordinator
1978,47,NFL,Los Angeles Rams,Defensive Coordinator
1979,48,NFL,Los Angeles Rams,Defensive Coordinator
1980,49,NFL,Los Angeles Rams,Defensive Coordinator
1981,50,NFL,Los Angeles Rams,Defensive Coordinator
1982,51,NFL,Baltimore Colts,Defensive Coordinator
1983,52,NFL,Kansas City Chiefs,Defensive Coordinator
1985,54,NFL,New York Jets,Defensive Coordinator
1986,55,NFL,New York Jets,Defensive Coordinator
1987,56,NFL,New York Jets,Defensive Coordinator
1988,57,NFL,New York Jets,Defensive Coordinator
1989,58,NFL,Cleveland Browns,Head Coach
1990,59,NFL,Cleveland Browns,Head Coach
1991,60,NFL,Philadelphia Eagles,Defensive Coordinator
1992,61,NFL,Philadelphia Eagles,Defensive Coordinator
1993,62,NFL,Philadelphia Eagles,Defensive Coordinator
1994,63,NFL,Philadelphia Eagles,Defensive Coordinator
1997,66,NFL,St. Louis Rams,Defensive Coordinator
