,Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts Def Rank,Yds Def Rank,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
0,1930,NFL,Newark Tornadoes,1,10,1,11th of 11,,51,190,-139,"Salata,Fish,McGall",,,,,10,1,9,1,1,10,1,11,-11.6,0.0,-11.5,-6.0,-5.5
1,1929,NFL,Orange Tornadoes,3,5,4,8th of 12,,35,80,-45,Depler,,,,,11,1,5,1,1,8,1,12,-3.8,2.4,-1.7,-5.9,4.3
