,Year,Week,Day,Date,, Offense,OT, Offense Defense,Opp,Tm,Opp Defense,1stD,TotYd,PassY,RushY,TO,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,Offense,Defense,Sp. Tms
0,2022,WildCard,Sun,"January 15, 2023",boxscore,L,,@,Cincinnati Bengals,17,24,23,364,209,155,2,18,234,183,51,1,,,
1,2020,WildCard,Sun,"January 10, 2021",boxscore,W,,@,Tennessee Titans,20,13,22,401,165,236,1,12,209,158,51,1,,,
2,2020,Division,Sat,"January 16, 2021",boxscore,L,,@,Buffalo Bills,3,17,19,340,190,150,1,17,220,188,32,,,,
3,2019,Division,Sat,"January 11, 2020",boxscore,L,,,Tennessee Titans,12,28,29,530,345,185,3,15,300,83,217,,,,
4,2018,WildCard,Sun,"January 6, 2019",boxscore,L,,,Los Angeles Chargers,17,23,11,229,139,90,3,14,243,154,89,1,,,
5,2014,WildCard,Sat,"January 3, 2015",boxscore,W,,@,Pittsburgh Steelers,30,17,19,299,246,53,1,22,387,319,68,3,,,
6,2014,Division,Sat,"January 10, 2015",boxscore,L,,@,New England Patriots,31,35,28,428,292,136,2,29,422,408,14,1,,,
7,2012,WildCard,Sun,"January 6, 2013",boxscore,W,,,Indianapolis Colts,24,9,18,439,269,170,2,25,419,267,152,2,,,
8,2012,Division,Sat,"January 12, 2013",boxscore,W,OT,@,Denver Broncos,38,35,21,479,324,155,1,30,398,273,125,3,,,
9,2012,ConfChamp,Sun,"January 20, 2013",boxscore,W,,@,New England Patriots,28,13,25,356,235,121,,28,428,320,108,3,,,
10,2012,SuperBowl,Sun,"February 3, 2013",boxscore,W,,N,San Francisco 49ers,34,31,21,367,274,93,1,23,468,286,182,2,,,
11,2011,Division,Sun,"January 15, 2012",boxscore,W,,,Houston Texans,20,13,11,227,140,87,,16,315,184,131,4,,,
12,2011,ConfChamp,Sun,"January 22, 2012",boxscore,L,,@,New England Patriots,20,23,19,398,282,116,1,25,330,234,96,3,,,
13,2010,WildCard,Sun,"January 9, 2011",boxscore,W,,@,Kansas City Chiefs,30,7,26,390,248,142,2,8,161,53,108,5,,,
14,2010,Division,Sat,"January 15, 2011",boxscore,L,,@,Pittsburgh Steelers,24,31,12,126,91,35,3,21,263,192,71,2,,,
15,2009,WildCard,Sun,"January 10, 2010",boxscore,W,,@,New England Patriots,33,14,16,268,34,234,2,15,196,132,64,4,,,
16,2009,Division,Sat,"January 16, 2010",boxscore,L,,@,Indianapolis Colts,3,20,12,270,183,87,4,22,275,233,42,1,,,
17,2008,WildCard,Sun,"January 4, 2009",boxscore,W,,@,Miami Dolphins,27,9,16,286,135,151,1,18,276,224,52,5,,,
18,2008,Division,Sat,"January 10, 2009",boxscore,W,,@,Tennessee Titans,13,10,9,211,161,50,,21,391,275,116,3,,,
19,2008,ConfChamp,Sun,"January 18, 2009",boxscore,L,,@,Pittsburgh Steelers,14,23,13,198,125,73,4,11,275,223,52,1,,,
20,2006,Division,Sat,"January 13, 2007",boxscore,L,,,Indianapolis Colts,6,15,13,244,161,83,4,15,261,161,100,2,,,
21,2003,WildCard,Sat,"January 3, 2004",boxscore,L,,,Tennessee Titans,17,20,12,255,201,54,2,16,324,159,165,3,,,
22,2001,WildCard,Sun,"January 13, 2002",boxscore,W,,@,Miami Dolphins,20,3,20,347,121,226,1,9,151,105,46,3,,,
23,2001,Division,Sun,"January 20, 2002",boxscore,L,,@,Pittsburgh Steelers,10,27,7,150,128,22,4,21,297,143,154,1,,,
24,2000,WildCard,Sun,"December 31, 2000",boxscore,W,,,Denver Broncos,21,3,13,240,118,122,,9,177,135,42,1,,,
25,2000,Division,Sun,"January 7, 2001",boxscore,W,,@,Tennessee Titans,24,10,6,134,85,49,,23,317,191,126,1,,,
26,2000,ConfChamp,Sun,"January 14, 2001",boxscore,W,,@,Oakland Raiders,16,3,12,282,172,110,2,12,191,167,24,5,,,
27,2000,SuperBowl,Sun,"January 28, 2001",boxscore,W,,N,New York Giants,34,7,13,244,133,111,,11,152,86,66,5,,,
