Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1944,BOS,HC,11,8,8,9,10,10,9,3,10,10,10,10,3,8,7,9,5,8,8,9,9,10,10,9,7,5,1,2,6,8,8
1945,BOS,HC,10,6,3,8,9,9,8,8,7,9,6,9,9,10,9,8,7,8,6,7,3,8,7,5,7,7,7,5,5,1,4
1946,BOS,HC,10,9,7,9,9,7,6,4,9,9,8,8,6,5,7,4,4,6,9,9,8,8,10,10,10,9,5,7,8,8,8
