Year,Age,Level,Employer,Role
1965,22,College,Missouri,Graduate Assistant
1971,28,College,Missouri,Defensive Coordinator
1972,29,College,Missouri,Defensive Coordinator
1973,30,College,Missouri,Defensive Coordinator
1974,31,College,Missouri,Defensive Coordinator
1975,32,College,Missouri,Defensive Coordinator
1976,33,College,Missouri,Defensive Coordinator
1977,34,CFL,BC Lions,Defensive Coordinator
1978,35,CFL,BC Lions,Defensive Coordinator
1979,36,CFL,BC Lions,Defensive Coordinator
1980,37,CFL,BC Lions,Defensive Coordinator
1981,38,CFL,BC Lions,Defensive Coordinator
1982,39,CFL,BC Lions,Defensive Coordinator
1983,40,USFL,Philadelphia Stars,Defensive Coordinator
1984,41,USFL,Philadelphia Stars,Defensive Coordinator
1985,42,USFL,Baltimore Stars,Defensive Coordinator
1986,43,NFL,Chicago Bears,Defensive Coordinator
1987,44,NFL,Chicago Bears,Defensive Coordinator
1988,45,NFL,Chicago Bears,Defensive Coordinator
1989,46,NFL,Chicago Bears,Defensive Coordinator
1990,47,NFL,Chicago Bears,Defensive Coordinator
1991,48,NFL,Chicago Bears,Defensive Coordinator
1992,49,NFL,Chicago Bears,Defensive Coordinator
1994,51,NFL,Indianapolis Colts,Defensive Coordinator
1995,52,NFL,Indianapolis Colts,Defensive Coordinator
1996,53,NFL,Arizona Cardinals,Head Coach
1997,54,NFL,Arizona Cardinals,Head Coach
1998,55,NFL,Arizona Cardinals,Head Coach
1999,56,NFL,Arizona Cardinals,Head Coach
2000,57,NFL,Arizona Cardinals,Head Coach
2001,58,NFL,Detroit Lions,Defensive Coordinator
2004,61,NFL,Green Bay Packers,Special Assistant
