,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1986,CHI,DC,28,1,14,1,1,7,13,26,1,1,3,3,26,27,20,28,22,9,1,1,3,3,2,1,2,14,15,2,1,2,1
1,1987,CHI,DC,28,3,27,6,4,12,9,27,13,13,12,12,23,14,12,11,25,17,2,4,28,3,1,1,1,24,24,7,17,25,1
2,1988,CHI,DC,28,1,12,4,3,11,18,15,4,3,3,9,25,22,20,23,5,8,2,1,12,1,1,1,2,26,25,9,10,3,2
3,1989,CHI,DC,28,21,19,16,19,10,10,25,7,2,2,4,19,19,19,12,23,14,25,20,8,10,15,27,23,21,23,24,14,4,20
4,1990,CHI,DC,28,6,3,10,9,13,10,6,1,2,1,5,10,23,28,24,6,24,6,9,1,6,7,8,14,15,16,10,9,1,6
5,1991,CHI,DC,28,5,19,11,7,11,14,17,6,9,4,15,18,16,13,14,15,14,4,9,17,5,10,10,18,18,16,8,18,14,5
6,1992,CHI,DC,28,21,19,18,13,8,16,15,16,10,8,6,5,15,14,14,24,14,17,22,22,22,21,18,19,7,4,15,16,23,20
7,1996,ARI,HC,30,19,26,26,17,13,22,25,27,25,24,17,20,3,6,10,23,19,21,26,25,27,21,25,10,7,11,21,13,27,26
8,1997,ARI,HC,30,26,29,27,29,24,25,28,29,30,22,29,29,2,10,18,25,25,27,25,29,29,27,17,21,30,7,15,18,15,24
9,1998,ARI,HC,30,11,11,18,17,13,15,28,15,21,6,24,25,8,8,20,25,18,21,24,3,26,20,25,18,3,15,17,11,8,18
10,1999,ARI,HC,31,22,30,27,29,29,30,30,25,29,10,30,8,8,27,31,30,30,22,27,22,30,30,28,24,21,6,10,26,15,17
11,2000,ARI,HC,31,29,30,30,27,24,29,30,30,27,29,25,29,13,17,23,29,17,30,30,29,30,30,31,26,22,3,11,13,28,27
12,2001,DET,DC,31,30,30,29,27,16,26,27,31,28,26,17,23,1,6,17,29,25,26,30,29,22,23,22,20,31,12,25,29,17,24
