,Year,Age,Level,Employer,Role
0,1948,27,College,DePauw,Freshmen Coach
1,1949,28,College,DePauw,Freshmen Coach
2,1950,29,College,DePauw,Freshmen Coach
3,1951,30,College,DePauw,Freshmen Coach
4,1952,31,College,Indiana,Assistant Coach
5,1953,32,College,Indiana,Assistant Coach
6,1954,33,NFL,Baltimore Colts,Defensive Line
7,1955,34,NFL,Los Angeles Rams,Defensive Line
8,1956,35,NFL,Los Angeles Rams,Defensive Line
9,1957,36,CFL,Toronto Argonauts,Defensive Coach
10,1974,53,NFL,Baltimore Colts,Head Coach
