,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
0,1931,37,PRT,NFL,14,11,3,0,.786,4.1,1.8,2.3,,,,,2,
1,1932,38,PRT,NFL,12,6,2,4,.750,4.7,1.8,2.8,,,,,3,
2,1933,39,PRT,NFL,11,6,5,0,.545,5.1,2.9,2.2,,,,,2,
3,1934,40,DET,NFL,13,10,3,0,.769,12.2,6.6,5.6,,,,,2,
4,1935,41,DET,NFL,12,7,3,2,.700,7.8,6.7,1.1,1,1,0,1.000,1,NFL Champions
5,1936,42,DET,NFL,12,8,4,0,.667,11.0,7.8,3.2,,,,,3,
6,1937,43,BKN,NFL,11,3,7,1,.300,-9.3,-5.6,-3.7,,,,,4,
7,1938,44,BKN,NFL,11,4,4,3,.500,-2.5,-1.5,-1.0,,,,,3,
8,1939,45,BKN,NFL,11,4,6,1,.400,-10.4,-4.7,-5.7,,,,,3,
9,1940,46,DET,NFL,11,5,5,1,.500,-0.8,-3.6,2.8,,,,,3,
