,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1961,WAS,HC,14,14,6,14,13,14,14,6,14,14,12,14,3,4,12,14,12,13,12,13,7,4,3,3,4,10,12,14,14,4,13
1,1962,WAS,HC,14,9,3,10,12,10,7,9,13,14,11,14,8,3,3,3,10,4,14,12,2,5,6,3,7,3,11,13,14,2,14
2,1963,WAS,HC,14,12,14,11,9,7,11,14,14,14,4,10,12,3,3,11,14,5,12,14,12,13,11,4,6,13,13,12,14,8,12
3,1964,WAS,HC,14,7,1,7,8,11,7,5,13,13,10,12,6,5,5,2,4,5,4,7,1,9,10,14,8,2,10,5,4,1,3
4,1965,WAS,HC,14,10,7,11,10,11,12,11,14,14,14,14,11,5,7,10,9,12,2,6,4,14,8,11,4,7,1,3,2,1,4
5,1967,DET,OC,16,12,13,7,8,13,12,12,5,3,8,5,16,12,15,12,6,15,4,5,11,14,10,9,7,13,1,2,1,7,4
6,1968,DET,OC,16,12,7,10,7,11,14,6,11,12,14,8,14,9,9,10,1,8,6,5,8,12,6,9,4,10,5,5,2,6,9
7,1969,DET,OC,16,5,3,4,4,16,14,4,3,6,9,14,5,14,15,15,6,15,2,2,2,3,3,3,2,3,3,3,5,5,3
8,1970,DET,OC,26,4,1,2,6,13,2,6,2,2,3,8,15,25,22,7,4,13,2,2,1,1,1,4,2,5,12,16,6,2,20
9,1971,DET,OC,26,11,15,9,5,4,3,10,1,2,7,5,21,22,12,8,5,4,11,16,16,8,15,19,17,22,2,8,18,11,22
10,1972,DET,OC,26,8,9,10,16,15,6,2,14,12,3,8,1,21,14,7,12,6,19,17,19,18,21,15,23,10,4,9,16,22,18
11,1973,MIA,OC,26,1,12,2,4,9,5,5,12,3,6,2,14,24,21,8,3,6,3,1,22,16,12,8,7,26,6,1,1,5,1
