Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1961,35,WAS,NFL,14,1,12,1,.077,-15.7,-9.2,-6.5,,,,,7,
1962,36,WAS,NFL,14,5,7,2,.417,-8.4,-2.6,-5.8,,,,,4,
1963,37,WAS,NFL,14,3,11,0,.214,-7.8,-2.1,-5.8,,,,,6,
1964,38,WAS,NFL,14,6,8,0,.429,-2.5,-1.9,-0.6,,,,,3,
1965,39,WAS,NFL,14,6,8,0,.429,-9.0,-7.4,-1.6,,,,,4,
