Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
2002,47,CAR,NFL,16,7,9,0,.438,-3.3,-6.0,2.8,,,,,4,9,1,
2003,48,CAR,NFL,16,11,5,0,.688,-0.9,-1.5,0.6,4,3,1,.750,1,13,8,NFC Champions
2004,49,CAR,NFL,16,7,9,0,.438,-0.7,-0.8,0.1,,,,,3,13,2,
2005,50,CAR,NFL,16,11,5,0,.688,5.1,3.0,2.1,3,2,1,.667,2,7,2,
2006,51,CAR,NFL,16,8,8,0,.500,-2.7,-4.2,1.5,,,,,2,6,3,
2007,52,CAR,NFL,16,7,9,0,.438,-5.8,-5.7,-0.1,,,,,2,10,3,
2008,53,CAR,NFL,16,12,4,0,.750,5.6,2.8,2.9,1,0,1,.000,1,7,1,
2009,54,CAR,NFL,16,8,8,0,.500,3.9,-0.6,4.5,,,,,3,9,6,
2010,55,CAR,NFL,16,2,14,0,.125,-13.2,-9.1,-4.1,,,,,4,12,3,
2011,56,DEN,NFL,16,8,8,0,.500,-5.3,-3.6,-1.7,2,1,1,.500,1,9,4,
2012,57,DEN,NFL,16,13,3,0,.813,10.1,6.3,3.8,1,0,1,.000,1,7,6,
2013,58,DEN,NFL,16,13,3,0,.813,11.4,14.1,-2.7,3,2,1,.667,1,8,1,AFC Champions
2014,59,DEN,NFL,16,12,4,0,.750,9.6,9.2,0.4,1,0,1,.000,1,6,2,
2015,60,CHI,NFL,16,6,10,0,.375,-1.3,-0.1,-1.2,,,,,4,4,1,
2016,61,CHI,NFL,16,3,13,0,.188,-7.5,-5.2,-2.3,,,,,4,6,2,
2017,62,CHI,NFL,16,5,11,0,.313,-1.3,-4.6,3.3,,,,,4,7,3,
