Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1994,RAI,DC,28,9,22,15,14,19,19,15,18,21,25,20,19,23,16,10,12,13,10,17,22,13,9,11,5,11,19,14,21,22,7
1995,OAK,DC,30,14,16,12,10,11,15,21,14,8,19,7,13,16,16,12,24,12,11,10,12,15,17,20,19,2,7,10,1,29,11
1997,NYG,DC,30,7,1,10,25,27,21,1,5,7,12,17,2,25,28,22,9,28,18,3,1,9,3,25,2,2,29,26,1,1,10
1998,NYG,DC,30,13,13,15,23,29,23,8,10,12,19,16,9,18,28,19,11,29,19,8,19,17,23,19,22,23,16,13,3,10,8
1999,NYG,DC,31,21,25,23,15,17,20,16,15,24,17,27,16,3,8,25,22,18,13,23,26,21,13,21,5,27,8,14,11,15,28
2000,NYG,DC,31,2,9,9,8,13,15,5,6,11,7,19,8,17,13,9,6,12,5,5,12,2,2,2,3,21,29,16,17,9,8
2001,NYG,DC,31,16,16,18,7,9,21,17,19,15,14,11,16,5,8,15,13,14,14,16,16,12,8,4,7,9,17,21,24,20,21
2002,CAR,HC,32,20,23,23,22,31,30,29,13,25,21,31,27,29,30,30,25,27,2,5,7,19,8,6,1,7,11,4,7,15,4
2003,CAR,HC,32,7,25,16,11,16,15,20,3,7,24,17,25,28,18,16,12,9,8,10,18,9,11,6,12,23,20,9,13,12,8
2004,CAR,HC,32,18,4,12,19,13,13,12,22,28,19,28,14,11,9,5,13,12,20,15,2,21,17,28,12,13,16,18,7,1,21
2005,CAR,HC,32,5,3,4,11,22,8,13,10,19,8,29,10,28,17,5,17,6,3,5,2,6,4,4,4,2,21,9,2,4,4
2006,CAR,HC,32,13,23,20,14,24,27,16,24,24,28,19,10,10,15,17,17,20,7,8,28,16,11,7,9,28,9,4,20,22,9
2007,CAR,HC,32,18,13,21,23,29,26,14,9,14,28,15,14,24,29,17,17,30,16,15,11,25,18,21,4,5,16,17,15,23,16
2008,CAR,HC,32,2,7,8,16,10,7,6,6,3,1,2,5,32,19,24,9,4,18,12,15,15,20,15,23,8,27,16,10,21,6
2009,CAR,HC,32,16,8,17,15,19,21,22,2,3,10,3,17,29,27,24,27,22,8,9,4,21,22,19,22,1,5,4,2,5,9
2010,CAR,HC,32,32,25,32,31,32,32,29,15,13,31,12,28,26,32,32,25,32,18,26,11,28,23,31,10,10,12,11,6,11,17
2011,DEN,HC,32,13,26,25,27,23,25,25,1,1,19,6,32,32,31,18,8,29,20,24,28,27,22,15,13,19,14,18,16,28,21
2012,DEN,HC,32,1,17,2,1,4,2,16,9,16,13,25,26,10,5,3,6,1,2,4,16,7,3,1,2,22,17,3,17,13,1
2013,DEN,HC,32,1,14,1,1,1,1,17,11,15,7,20,32,2,1,1,5,1,19,22,16,8,7,23,10,21,27,27,21,12,17
2014,DEN,HC,32,1,11,4,2,4,2,6,12,15,9,20,3,9,4,2,16,4,3,16,14,1,2,8,4,23,32,9,25,7,1
2015,CHI,HC,32,22,19,21,16,21,23,13,6,11,12,19,15,25,23,23,11,13,14,20,28,21,23,8,26,16,5,4,25,30,18
2016,CHI,HC,32,29,31,28,12,15,28,30,25,17,22,6,28,22,14,24,28,10,15,24,32,26,27,25,21,30,4,7,11,29,17
2017,CHI,HC,32,25,15,20,26,30,29,14,18,16,11,11,19,32,32,31,11,25,10,9,13,16,11,9,12,1,10,7,5,29,14
