,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1969,ATL,DC,16,9,2,8,13,13,11,7,5,3,13,1,14,16,14,9,3,13,9,6,1,14,14,8,11,1,7,7,3,7,6
1,1970,ATL,DC,26,20,16,19,22,23,22,17,17,15,24,15,22,20,23,9,13,23,11,10,11,22,15,18,9,5,6,8,3,14,17
2,1971,ATL,DC,26,11,11,13,12,15,13,14,7,16,12,23,11,24,11,9,13,1,8,13,12,24,21,23,18,6,9,1,1,15,2
3,1972,ATL,DC,26,13,15,16,13,16,16,15,9,9,11,10,22,22,20,16,8,12,7,14,12,19,17,20,14,10,1,2,7,15,8
4,1973,ATL,DC,26,9,9,8,7,15,7,13,9,10,2,15,22,16,12,13,3,13,6,9,7,20,18,13,15,16,7,3,5,3,2
5,1974,ATL,HC,26,24,26,26,26,26,26,26,25,21,26,17,26,19,26,26,26,26,15,16,18,26,26,22,18,17,1,2,8,16,5
6,,ATL,DC,26,24,26,26,26,26,26,26,25,21,26,17,26,19,26,26,26,26,15,16,18,26,26,22,18,17,1,2,8,16,5
7,1975,ATL,HC,26,18,19,15,20,20,19,23,18,19,19,17,19,12,19,12,23,19,22,15,13,23,21,6,12,21,25,21,12,6,11
8,1976,ATL,HC,28,21,18,25,27,27,24,23,23,25,21,25,13,20,28,21,25,27,20,22,12,25,25,25,24,9,6,11,14,15,15
9,1977,PHI,DC,28,19,15,12,19,23,19,18,20,24,18,23,20,14,20,6,13,22,10,7,14,13,15,9,12,16,17,8,12,11,6
10,1978,PHI,DC,28,8,2,9,11,18,18,12,10,7,12,8,24,15,21,14,1,22,11,5,2,2,5,2,9,7,21,22,14,4,19
11,1979,PHI,DC,28,3,9,6,9,15,12,2,10,9,11,6,11,22,19,8,1,15,9,9,22,8,18,12,23,26,12,4,11,13,4
12,1980,PHI,DC,28,1,8,1,3,8,6,3,11,14,5,23,17,16,7,6,1,3,2,1,15,3,2,1,6,25,26,5,3,9,2
13,1981,PHI,DC,28,6,7,1,1,12,5,11,7,4,10,2,9,21,20,7,13,13,1,1,5,8,4,7,6,5,16,1,2,6,1
14,1982,PHI,DC,28,21,7,13,21,18,11,14,28,25,8,11,14,11,11,9,15,15,20,19,3,21,15,2,6,5,16,20,21,7,20
15,1983,PHI,HC,28,25,23,24,25,27,28,8,27,26,27,26,12,17,16,15,5,16,18,8,28,28,27,12,18,21,2,2,9,28,14
16,1984,PHI,HC,28,20,15,19,23,26,23,8,28,28,28,25,14,2,11,17,7,25,12,14,22,26,23,11,14,22,9,6,14,13,9
17,1985,PHI,HC,28,16,24,19,13,15,24,17,23,23,27,19,5,7,8,18,25,14,10,10,25,21,21,15,17,19,5,6,6,19,10
18,1986,ATL,DC,28,16,12,16,11,17,21,11,2,3,18,6,13,25,25,24,7,22,7,6,14,15,16,4,18,17,3,7,9,10,22
19,1987,ATL,HC,28,28,28,28,28,28,28,28,28,28,27,18,14,10,22,20,28,27,28,28,25,28,28,28,27,22,5,18,24,22,28
20,1988,ATL,HC,28,22,12,22,27,25,25,22,17,14,19,7,24,19,25,23,14,26,25,11,7,23,25,10,25,16,13,21,7,4,21
21,1989,ATL,HC,28,27,5,26,27,24,22,1,28,28,20,22,3,5,9,18,2,21,28,28,21,28,28,28,25,21,1,19,11,18,27
