,Year,Age,Level,Employer,Role
0,1962,33,AFL,Boston Patriots,Defensive Line
1,1963,34,AFL,Boston Patriots,Defensive Line
2,1964,35,NFL,Minnesota Vikings,Defensive Line
3,1965,36,NFL,Minnesota Vikings,Defensive Line
4,1966,37,NFL,Minnesota Vikings,Defensive Line
5,1967,38,NFL,Los Angeles Rams,Defensive Line
6,1968,39,NFL,Los Angeles Rams,Defensive Line
7,1969,40,NFL,Atlanta Falcons,Defensive Coordinator
8,1970,41,NFL,Atlanta Falcons,Defensive Coordinator
9,1971,42,NFL,Atlanta Falcons,Defensive Coordinator
10,1972,43,NFL,Atlanta Falcons,Defensive Coordinator
11,1973,44,NFL,Atlanta Falcons,Defensive Coordinator
12,1974,45,NFL,Atlanta Falcons,Defensive Coordinator/Interim HC
13,1975,46,NFL,Atlanta Falcons,Head Coach
14,1976,47,NFL,Atlanta Falcons,Head Coach
15,1977,48,NFL,Philadelphia Eagles,Defensive Coordinator
16,1978,49,NFL,Philadelphia Eagles,Defensive Coordinator
17,1979,50,NFL,Philadelphia Eagles,Defensive Coordinator
18,1980,51,NFL,Philadelphia Eagles,Defensive Coordinator
19,1981,52,NFL,Philadelphia Eagles,Defensive Coordinator
20,1982,53,NFL,Philadelphia Eagles,Defensive Coordinator
21,1983,54,NFL,Philadelphia Eagles,Head Coach
22,1984,55,NFL,Philadelphia Eagles,Head Coach
23,1985,56,NFL,Philadelphia Eagles,Head Coach
24,1986,57,NFL,Atlanta Falcons,Defensive Coordinator
25,1987,58,NFL,Atlanta Falcons,Head Coach
26,1988,59,NFL,Atlanta Falcons,Head Coach
27,1989,60,NFL,Atlanta Falcons,Head Coach
28,1994,65,College,Georgia,Defensive Coordinator
