,Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Num,Won,Notes
0,2011,48,MIA,NFL,3,2,1,0,.667,0.9,-2.2,3.2,,,,,3,0,0,
1,2015,52,NYJ,NFL,16,10,6,0,.625,1.5,-0.5,2.0,,,,,2,5,1,
2,2016,53,NYJ,NFL,16,5,11,0,.313,-8.5,-5.5,-3.0,,,,,4,8,5,
3,2017,54,NYJ,NFL,16,5,11,0,.313,-4.9,-2.9,-2.1,,,,,4,3,1,
4,2018,55,NYJ,NFL,16,4,12,0,.250,-7.8,-2.0,-5.9,,,,,4,2,2,
5,2022,59,TAM,NFL,17,8,9,0,.471,-2.3,-3.3,1.1,1,0,1,.000,1,3,2,
