,Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Rushing Off,Yds Rushing Off Passing Off,TD Passing Off,Int,NY/A,Yds Passing Off,Pts Passing Off,TkA,Att Passing Off,Yds Passing Off Defense,TD Defense,Y/A Defense,FR,Att Defense,Yds Defense,TD Defense Rushing Def,Int Rushing Def,nY/A
0,1989,SFO,OC,28,1,2,1,1,1,1,2,13,10,12,13,10,20,2,1,1,1,4,3,11,1,3,3,8,9,25,11,3,9,5
1,1990,SFO,OC,28,1,9,3,1,2,8,10,16,18,17,25,10,2,2,3,11,5,3,2,13,2,2,2,3,15,24,12,6,14,4
2,1991,SFO,OC,28,9,19,2,2,3,3,14,15,11,2,7,24,3,2,4,4,2,6,4,20,6,5,5,9,11,12,11,7,22,9
3,1992,GNB,HC,28,12,15,14,16,15,17,18,18,21,23,22,27,5,9,8,6,17,23,15,10,6,16,14,26,4,15,23,8,21,23
4,1993,GNB,HC,28,9,17,7,12,19,6,18,16,22,3,19,4,11,18,11,24,17,2,9,11,11,8,1,11,8,19,7,7,12,1
5,1994,GNB,HC,28,9,3,4,8,9,4,2,20,19,17,15,3,7,9,2,5,18,6,5,8,3,3,5,10,14,28,15,11,7,4
6,1995,GNB,HC,30,3,24,5,6,7,6,1,20,26,23,28,1,8,3,1,11,3,14,4,30,4,7,11,21,30,28,21,20,25,8
7,1996,GNB,HC,30,1,2,1,1,5,1,2,14,11,19,12,8,12,5,1,5,6,1,1,3,4,4,5,5,14,20,1,3,2,1
8,1997,GNB,HC,30,1,17,3,6,4,2,20,10,12,22,11,24,18,3,1,16,2,7,5,6,14,20,22,23,21,27,8,1,4,2
9,1998,GNB,HC,30,6,28,7,4,5,6,24,18,25,25,29,13,2,3,3,27,8,4,11,22,4,4,2,9,18,21,10,17,21,1
10,1999,SEA,HC,31,9,12,12,26,23,12,19,24,24,29,25,27,22,16,6,11,13,23,8,6,26,25,10,21,30,26,17,7,1,8
11,2000,SEA,HC,31,22,23,25,30,19,19,27,23,22,23,10,26,19,21,12,25,20,31,25,16,27,28,28,30,18,9,30,17,13,31
12,2001,SEA,HC,31,12,11,16,24,25,19,2,10,9,7,14,5,27,27,26,2,21,20,18,21,11,15,7,15,9,28,23,16,23,15
13,2002,SEA,HC,32,20,14,19,17,7,16,14,17,20,9,22,13,7,3,20,17,6,28,23,11,30,32,27,32,17,21,18,15,8,16
14,2003,SEA,HC,32,8,18,10,13,6,7,17,13,10,7,10,22,13,7,5,12,6,19,15,14,19,14,4,9,13,30,27,26,12,14
15,2004,SEA,HC,32,10,9,16,15,8,12,14,13,8,5,6,5,14,13,13,20,14,26,22,6,19,23,25,24,13,31,23,19,3,14
16,2005,SEA,HC,32,2,7,2,3,2,1,2,7,3,1,2,2,23,13,5,3,5,16,7,18,10,5,2,5,17,29,25,9,14,13
17,2006,SEA,HC,32,9,27,15,21,19,14,27,10,14,27,17,16,18,20,5,27,25,19,19,21,10,22,11,28,8,10,16,24,25,17
18,2007,SEA,HC,32,7,5,8,10,9,9,7,17,20,22,26,13,2,8,6,5,13,15,6,6,14,12,27,12,10,25,19,1,4,9
19,2008,SEA,HC,32,28,25,26,30,28,25,21,22,19,25,14,20,26,29,19,16,30,30,25,26,23,18,13,16,13,28,32,27,29,26
