,Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
0,2022,346,5617,1024,5.5,23,3,314,332,542,3779,29,20,6.5,196,442,1838,7,4.2,95,96,717,23,177,37.3,13.0,Own 28.8,2:47,6.0,31.6,1.93,216,85,39.4%,21,13,61.9%,47,26,55.3%
1,2021,398,6139,1116,5.5,22,9,354,355,563,3656,24,13,5.9,186,498,2483,17,5.0,144,123,1017,24,194,38.7,10.8,Own 30.5,2:45,5.9,31.6,2.01,232,86,37.1%,24,13,54.2%,59,30,50.8%
2,2020,312,4893,996,4.9,27,9,281,298,526,3110,22,18,5.3,163,414,1783,13,4.3,94,103,980,24,188,29.3,13.8,Own 28.3,2:29,5.4,26.0,1.62,222,83,37.4%,20,5,25.0%,45,25,55.6%
3,2019,303,4866,1030,4.7,38,18,304,314,514,3113,23,20,5.5,164,462,1753,7,3.8,110,115,1118,30,187,29.4,19.8,Own 30.4,2:41,5.7,25.7,1.52,209,76,36.4%,21,10,47.6%,46,23,50.0%
4,2018,360,5235,987,5.3,15,7,317,362,566,3697,27,8,6.0,200,369,1538,13,4.2,84,136,1170,33,184,33.7,8.2,Own 28.6,2:35,5.5,28.4,1.88,197,72,36.5%,13,7,53.8%,49,29,59.2%
5,2017,308,4910,940,5.2,22,6,270,297,499,3217,20,16,5.8,157,385,1693,14,4.4,89,110,1041,24,178,30.3,12.4,Own 25.9,2:32,5.4,27.6,1.67,199,72,36.2,19,6,31.6,39,24,61.5
6,2016,327,5482,997,5.5,23,10,313,381,590,3882,20,13,6.2,184,369,1600,15,4.3,95,109,920,34,177,34.5,11.9,Own 28.7,2:43,5.8,30.9,1.82,214,88,41.1%,21,11,52.4%,57,26,45.6%
7,2015,319,5809,1055,5.5,30,13,327,402,625,4350,29,17,6.5,231,382,1459,6,3.8,71,121,1199,25,189,32.3,14.3,Own 28.3,2:37,5.7,30.5,1.71,225,90,40.0%,24,7,29.2%,57,28,49.1%
8,2014,368,5654,944,6.0,21,10,314,350,543,4049,30,11,7.0,193,368,1605,9,4.4,88,97,835,33,174,39.7,11.5,Own 27.5,2:32,5.6,32.4,2.09,189,71,37.6%,14,10,71.4%,50,27,54.0%
9,2013,370,5395,1036,5.2,20,10,303,329,569,3546,21,10,5.9,174,433,1849,18,4.3,106,92,800,23,190,35.3,10.5,Own 30.5,2:27,5.6,28.4,1.88,230,91,39.6%,20,9,45.0%,55,31,56.4%
10,2012,314,4413,951,4.6,20,10,273,299,523,2963,19,10,5.3,169,391,1450,9,3.7,78,100,882,26,182,30.8,10.4,Own 29.7,2:27,5.4,24.2,1.54,206,73,35.4%,11,8,72.7%,42,22,52.4%
