Year,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
2024,380,5430,1081,5.0,17,11,318,321,499,3264,21,6,6.0,158,533,2166,14,4.1,122,102,823,38,187,39.6,8.6,Own 31.6,2:46,5.94,28.4,1.91,228,90,39.5%,18,7,38.9%,56,27,48.2%
2023,304,5173,1029,5.0,16,7,287,323,506,3163,13,9,5.8,153,487,2010,16,4.1,115,86,753,19,194,29.9,7.7,Own 28.4,2:36,5.46,26.6,1.49,232,85,36.6%,19,9,47.4%,42,20,47.6%
2022,308,5484,1109,4.9,19,5,345,364,571,3411,12,14,5.6,189,500,2073,16,4.1,129,94,711,27,177,35.0,9.6,Own 27.3,3:02,6.51,30.9,1.68,236,106,44.9%,15,11,73.3%,52,27,51.9%
2021,343,5361,1113,4.8,20,9,323,425,664,3778,23,11,5.4,204,411,1583,10,3.9,85,106,831,34,199,34.7,9.5,Own 29.2,2:34,5.79,26.8,1.70,239,93,38.9%,21,10,47.6%,50,27,54.0%
2020,416,5354,1043,5.1,18,7,322,428,656,4003,35,11,6.0,206,373,1351,12,3.6,81,81,691,35,188,37.2,8.5,Own 30.8,2:37,5.68,28.4,2.12,230,97,42.2%,19,10,52.6%,52,33,63.5%
2019,289,4428,937,4.7,30,11,265,315,510,2981,18,19,5.5,147,395,1447,7,3.7,75,111,893,43,187,28.9,16.0,Own 29.5,2:28,5.18,23.5,1.40,195,67,34.4%,15,2,13.3%,40,14,35.0%
2018,428,6453,1058,6.1,26,9,378,459,689,5008,35,17,7.0,251,345,1445,16,4.2,88,111,1026,39,182,36.8,14.3,Own 26.0,2:44,5.93,35.5,2.23,198,88,44.4%,14,9,64.3%,49,36,73.5%
2017,406,6047,1051,5.8,20,5,348,384,590,4380,29,15,7.1,217,437,1667,12,3.8,96,101,897,35,179,43.0,10.6,Own 29.3,2:52,6.09,33.7,2.23,209,92,44.0,8,3,37.5,63,32,50.8
2016,399,5962,1026,5.8,18,3,336,381,596,4202,33,15,6.8,210,409,1760,13,4.3,97,112,1068,29,182,38.5,9.9,Own 27.3,2:42,5.81,32.7,2.16,202,83,41.1%,16,9,56.3%,49,29,59.2%
2015,423,6327,1011,6.3,28,7,331,391,590,4603,26,21,7.4,207,388,1724,16,4.4,91,94,868,33,190,40.5,13.7,Own 28.2,2:30,5.54,33.3,2.10,193,75,38.9%,12,4,33.3%,56,34,60.7%
