Team Abbreviation,PF (Points For),Yds,Offensive Plays,Y/P,TO,FL+,1stD,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,NY/A Passing,1stD Passing,Att Rushing,Yds Rushing,TD Rushing,Y/A Rushing,1stD Rushing,Pen,Yds Penalties,1stPy,#Dr,Sc%,TO%,Start Average Drive,Time Average Drive,Plays Average Drive,Yds Average Drive,Pts Average Drive,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
bba,249.0,3413.0,739.0,4.6,58.0,35.0,147.0,96.0,238.0,1367.0,16.0,23.0,5.7,45.0,501.0,2046.0,13.0,4.1,85.0,46.0,296.0,17.0,,,,,,,,,,,,,,,,,
bda,226.0,3275.0,701.0,4.7,40.0,17.0,135.0,162.0,327.0,2258.0,17.0,23.0,6.9,70.0,374.0,1017.0,9.0,2.7,54.0,56.0,453.0,11.0,,,,,,,,,,,,,,,,,
byk,189.0,2676.0,604.0,4.4,37.0,18.0,147.0,103.0,239.0,1566.0,15.0,19.0,6.6,59.0,365.0,1110.0,11.0,3.0,67.0,83.0,691.0,21.0,,,,,,,,,,,,,,,,,
chi,289.0,3669.0,749.0,4.9,34.0,16.0,211.0,120.0,253.0,1950.0,18.0,18.0,7.7,82.0,496.0,1719.0,21.0,3.5,112.0,104.0,940.0,17.0,,,,,,,,,,,,,,,,,
cle,423.0,4244.0,733.0,5.8,37.0,30.0,146.0,123.0,237.0,2266.0,22.0,7.0,9.6,60.0,496.0,1978.0,27.0,4.0,79.0,71.0,600.0,7.0,,,,,,,,,,,,,,,,,
cra,263.0,3439.0,822.0,4.2,47.0,18.0,149.0,144.0,310.0,1898.0,18.0,29.0,6.1,63.0,512.0,1541.0,10.0,3.0,76.0,63.0,514.0,10.0,,,,,,,,,,,,,,,,,
crd,260.0,3480.0,637.0,5.5,49.0,29.0,175.0,115.0,266.0,1951.0,17.0,20.0,7.3,84.0,371.0,1529.0,17.0,4.1,77.0,84.0,761.0,14.0,,,,,,,,,,,,,,,,,
det,142.0,2141.0,560.0,3.8,45.0,12.0,120.0,119.0,286.0,1674.0,11.0,33.0,5.9,59.0,274.0,467.0,8.0,1.7,49.0,82.0,635.0,12.0,,,,,,,,,,,,,,,,,
gnb,148.0,2606.0,738.0,3.5,29.0,11.0,160.0,54.0,178.0,841.0,4.0,18.0,4.7,34.0,560.0,1765.0,13.0,3.2,112.0,82.0,693.0,14.0,,,,,,,,,,,,,,,,,
lda,305.0,4142.0,871.0,4.8,43.0,13.0,183.0,176.0,322.0,2193.0,19.0,30.0,6.8,84.0,549.0,1949.0,17.0,3.6,92.0,50.0,379.0,7.0,,,,,,,,,,,,,,,,,
msa,167.0,2573.0,703.0,3.7,56.0,23.0,121.0,131.0,295.0,1725.0,10.0,33.0,5.8,59.0,408.0,848.0,13.0,2.1,50.0,56.0,402.0,12.0,,,,,,,,,,,,,,,,,
naa,270.0,3490.0,788.0,4.4,45.0,24.0,158.0,129.0,274.0,1645.0,13.0,21.0,6.0,54.0,514.0,1845.0,17.0,3.6,98.0,65.0,558.0,6.0,,,,,,,,,,,,,,,,,
nyg,236.0,2917.0,612.0,4.8,41.0,16.0,163.0,100.0,194.0,1450.0,14.0,25.0,7.5,63.0,418.0,1467.0,17.0,3.5,81.0,76.0,785.0,19.0,,,,,,,,,,,,,,,,,
phi,231.0,2904.0,640.0,4.5,47.0,27.0,156.0,115.0,217.0,1641.0,14.0,20.0,7.6,69.0,423.0,1263.0,13.0,3.0,75.0,86.0,769.0,12.0,,,,,,,,,,,,,,,,,
pit,136.0,2277.0,575.0,4.0,28.0,15.0,120.0,58.0,161.0,970.0,4.0,13.0,6.0,35.0,414.0,1307.0,14.0,3.2,75.0,69.0,534.0,10.0,,,,,,,,,,,,,,,,,
ram,277.0,3763.0,731.0,5.1,44.0,20.0,214.0,153.0,326.0,2080.0,19.0,24.0,6.4,91.0,405.0,1683.0,16.0,4.2,102.0,80.0,764.0,21.0,,,,,,,,,,,,,,,,,
sfo,307.0,3896.0,844.0,4.6,42.0,21.0,170.0,130.0,252.0,1721.0,18.0,21.0,6.8,52.0,592.0,2175.0,22.0,3.7,113.0,56.0,440.0,5.0,,,,,,,,,,,,,,,,,
was,171.0,3105.0,659.0,4.7,44.0,22.0,161.0,112.0,221.0,1613.0,10.0,22.0,7.3,67.0,438.0,1492.0,11.0,3.4,84.0,85.0,842.0,10.0,,,,,,,,,,,,,,,,,
