Year,Age,Level,Employer,Role
1959,32,NFL,Green Bay Packers,Defensive Backs
1960,33,NFL,Green Bay Packers,Defensive Backs
1961,34,NFL,Green Bay Packers,Defensive Backs
1962,35,NFL,Green Bay Packers,Defensive Backs
1963,36,NFL,Green Bay Packers,Defensive Backs
1964,37,NFL,Green Bay Packers,Defensive Backs
1965,38,NFL,Green Bay Packers,Defensive Backs
1966,39,NFL,Atlanta Falcons,Head Coach
1967,40,NFL,Atlanta Falcons,Head Coach
1968,41,NFL,Atlanta Falcons,Head Coach
1969,42,NFL,New York Giants,Defensive Coordinator
1970,43,NFL,New York Giants,Defensive Coordinator
1971,44,NFL,New York Giants,Defensive Coordinator
1972,45,College,Stanford,Defensive Coordinator
1973,46,College,Stanford,Defensive Coordinator
1974,47,College,Stanford,Defensive Coordinator
1975,48,College,Stanford,Defensive Coordinator
1976,49,College,Stanford,Defensive Coordinator
1977,50,College,Stanford,Defensive Coordinator
1978,51,College,Stanford,Defensive Coordinator
1979,52,NFL,San Francisco 49ers,Defensive Backs
1980,53,NFL,San Francisco 49ers,Linebackers
1981,54,NFL,San Francisco 49ers,Linebackers
1982,55,NFL,San Francisco 49ers,Linebackers
1983,56,NFL,San Francisco 49ers,Linebackers
1984,57,NFL,San Francisco 49ers,Linebackers
1985,58,NFL,San Francisco 49ers,Linebackers
1986,59,NFL,San Francisco 49ers,Linebackers
