Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds Rushing Off,TD,Y/A,FL,Att Passing Off,Yds Defense,TD Rushing Def,Int,NY/A,Yds Passing Def,Pts_2,TkA,Att_2,Yds_5,TD_2,Y/A_1,FR,Att_3,Yds_6,TD_3,Int_1,nY/A
1992,PIT,DC,28,4,2,9,11,9,15,12,2,4,10,11,24,23,21,20,5,15,13,2,1,12,17,4,23,1,14,8,6,7,10
1993,PIT,DC,28,9,3,11,4,7,13,7,5,6,7,9,17,9,13,20,6,21,3,8,3,4,3,1,2,11,17,15,7,2,11
1994,PIT,DC,28,2,1,5,5,13,16,1,2,1,5,6,3,24,23,22,1,16,2,2,13,7,7,1,4,7,12,3,1,13,2
1995,CAR,HC,30,18,21,22,22,26,25,28,15,20,19,30,22,18,24,25,30,24,7,8,5,18,10,26,4,8,23,14,4,6,6
1996,CAR,HC,30,3,3,2,13,23,7,7,4,15,19,24,20,23,22,12,1,15,10,2,5,2,8,4,26,4,22,12,6,7,5
1997,CAR,HC,30,17,27,20,22,26,27,26,19,15,18,14,22,14,26,21,28,29,15,13,26,25,22,12,17,21,5,9,8,27,14
1998,CAR,HC,30,25,17,23,28,20,12,27,24,28,16,25,27,18,14,9,18,14,30,27,7,24,26,23,25,7,12,28,30,10,29
1999,JAX,DC,31,1,4,2,3,7,6,1,3,2,2,11,2,17,12,26,1,9,4,1,17,3,7,2,14,18,10,3,6,12,4
2000,JAX,DC,31,19,15,13,7,7,8,15,11,10,5,12,20,15,9,9,9,11,12,16,14,17,11,20,8,3,1,14,17,25,23
2002,HOU,HC,32,29,26,29,32,32,32,16,21,31,31,32,20,32,32,32,12,32,16,20,30,32,28,11,14,17,6,10,18,26,11
2003,HOU,HC,32,23,25,29,32,31,28,12,22,23,14,21,7,31,29,28,18,21,31,27,25,30,31,23,22,27,11,31,21,20,32
2004,HOU,HC,32,18,13,20,22,19,21,11,10,12,6,23,14,24,18,26,11,16,23,15,13,7,13,1,23,28,24,24,30,5,24
2005,HOU,HC,32,32,25,31,31,30,26,10,19,15,25,11,12,28,30,26,7,32,31,32,32,28,32,29,30,27,4,24,26,31,31
2006,MIA,DC,32,24,13,19,12,20,29,11,29,22,28,13,2,4,13,25,23,28,4,5,18,20,8,2,5,2,7,5,20,31,8
2007,MIA,DC,32,32,22,31,27,28,26,14,27,23,10,16,19,12,24,29,15,31,23,30,28,32,32,30,30,27,1,4,28,23,31
2009,GNB,DC,32,5,1,2,1,6,3,1,15,14,5,13,5,10,7,4,2,10,2,7,1,3,1,1,2,17,20,5,28,1,6
2010,GNB,DC,32,8,4,2,7,9,10,10,20,24,18,25,9,16,5,4,9,3,5,2,6,6,18,3,28,24,13,5,4,2,3
2011,GNB,DC,32,1,2,2,17,3,1,2,26,27,16,26,5,14,3,1,2,1,32,19,1,5,14,6,26,26,32,32,27,1,30
2012,GNB,DC,32,6,10,7,9,13,5,2,16,20,25,22,9,16,9,2,1,12,11,11,18,13,17,16,26,28,22,11,16,8,7
2013,GNB,DC,32,13,19,16,8,3,8,15,12,7,5,4,9,18,6,13,17,7,25,24,21,12,25,25,29,11,9,24,27,26,25
2014,GNB,DC,32,1,1,3,6,6,1,1,14,11,11,10,6,20,8,3,1,1,15,13,8,23,23,14,20,18,22,10,17,7,8
2015,GNB,DC,32,8,10,11,19,23,15,4,12,12,21,11,15,18,25,11,3,31,15,12,19,18,21,23,29,29,13,6,6,9,11
2016,GNB,DC,32,9,6,8,16,8,4,8,29,20,20,7,13,5,7,1,7,17,22,21,11,6,8,10,14,19,16,31,29,4,30
2017,GNB,DC,32,19,20,23,27,26,21,23,27,17,11,5,12,14,25,12,28,31,22,26,13,24,17,9,8,7,5,23,29,20,29
