Year,Age,Tm,Lg,G,W,L,T,W-L%,SRS,OSRS,DSRS,G plyf,W plyf,L plyf,W-L% Playoffs,Rank,Notes
1959,48,WAS,NFL,12,3,9,0,.250,-12.9,-5.7,-7.2,,,,,5,
1960,49,WAS,NFL,12,1,9,2,.100,-8.0,-6.1,-1.9,,,,,6,
1965,54,PIT,NFL,14,2,12,0,.143,-18.3,-10.8,-7.5,,,,,7,
